Date_Time,SSC (mg/L),Clay SSC (mg/L),Silt SSC (mg/L),Fine sand SSC (mg/L)
8/13/2023 17:30,13.33333333,0.18470672,8.186810411,4.961816212
8/13/2023 19:00,43.2,0.703296,21.290688,21.20688
8/13/2023 19:15,29.23,0.6775514,19.3148917,9.2375569
8/13/2023 19:30,25,0.59975,15.99075,8.41
8/13/2023 19:45,23.75,0.50255,14.8352,8.4129625
8/13/2023 20:00,22.22,0.4626204,13.3751068,8.382495
8/13/2023 20:15,22.22,0.362186,13.5235364,8.3351664
8/13/2023 20:30,21.9,0.314265,10.587993,10.99818
8/13/2023 20:45,18,0.21564,8.1054,9.6786
8/13/2023 21:00,20.5,0.46945,12.88097,7.149375
8/13/2023 21:15,12.56,0.2501952,8.0542256,4.255956
8/13/2023 21:30,18,0.42606,11.35404,6.21972
8/13/2023 21:45,20,0.457,12.0982,7.4436
8/13/2023 22:00,16.67,,,
