storm_name,HI,tau_mid,c_rise,c_fall,rise,fall,tau_col,constituent_col,k,t_rise_mid,t_fall_mid,rise_bracket,fall_bracket,storm,constituent
st1_down,0.8934729081330925,100.05945057833333,394.75556310297566,42.052162135643485,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515    4.409565
2021-07-23 15:50:00    113.726185  562.325800
2021-07-23 16:09:00    124.882455  528.034800
2021-07-23 16:40:00    131.895386  143.169000","                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 16:40:00    131.895386    143.1690
2021-07-23 16:55:00    129.521674     82.7614
2021-07-23 19:19:00     96.345185     36.9200
2021-07-23 21:02:00     86.958069     22.0119",shear_stress,SSC (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(4.409564903), 'y1': np.float64(562.3258), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(394.75556310297566), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(36.92), 'y1': np.float64(82.7614), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(42.052162135643485), 'extrapolated': False}",st1_down,SSC (mg/L)
st1_down,-0.09042377002483781,100.05945057833333,0.05126248136868238,0.056358642276835014,"                     shear_stress  SRP (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515     0.02625
2021-07-23 15:50:00    113.726185     0.06200
2021-07-23 16:09:00    124.882455     0.08800
2021-07-23 16:40:00    131.895386     0.08800","                     shear_stress  SRP (mg/L)
Date_Time                                    
2021-07-23 16:40:00    131.895386       0.088
2021-07-23 16:55:00    129.521674       0.083
2021-07-23 19:19:00     96.345185       0.053
2021-07-23 21:02:00     86.958069       0.047",shear_stress,SRP (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(0.02625), 'y1': np.float64(0.062), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.05126248136868239), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(0.053), 'y1': np.float64(0.083), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.056358642276835014), 'extrapolated': False}",st1_down,SRP (mg/L)
st1_down,0.578585489633226,100.05945057833333,0.2612598811176037,0.11009870487965655,"                     shear_stress  TP (mg/L)
Date_Time                                   
2021-07-23 14:30:00     68.223515    0.03125
2021-07-23 15:50:00    113.726185    0.36000
2021-07-23 16:09:00    124.882455    0.44500
2021-07-23 16:40:00    131.895386    0.24800","                     shear_stress  TP (mg/L)
Date_Time                                   
2021-07-23 16:40:00    131.895386      0.248
2021-07-23 16:55:00    129.521674      0.214
2021-07-23 19:19:00     96.345185      0.097
2021-07-23 21:02:00     86.958069      0.077",shear_stress,TP (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(0.03125), 'y1': np.float64(0.36), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.26125988111760373), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(0.097), 'y1': np.float64(0.214), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.11009870487965655), 'extrapolated': False}",st1_down,TP (mg/L)
st1_down,0.8261052104504835,100.05945057833333,0.8325832959085883,0.14478189702446684,"                     shear_stress  PP (mg/L)
Date_Time                                   
2021-07-23 14:30:00     68.223515       0.00
2021-07-23 15:50:00    113.726185       1.19
2021-07-23 16:09:00    124.882455       1.63
2021-07-23 16:40:00    131.895386       0.77","                     shear_stress  PP (mg/L)
Date_Time                                   
2021-07-23 16:40:00    131.895386       0.77
2021-07-23 16:55:00    129.521674       0.50
2021-07-23 19:19:00     96.345185       0.10
2021-07-23 21:02:00     86.958069       0.07",shear_stress,PP (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(0.0), 'y1': np.float64(1.19), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.8325832959085884), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(0.1), 'y1': np.float64(0.5), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(0.14478189702446684), 'extrapolated': False}",st1_down,PP (mg/L)
st1_down,0.8108057588936164,100.05945057833333,37.004305481796884,7.00100149329735,"                     shear_stress  POC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515    2.864641
2021-07-23 15:50:00    113.726185   51.660000
2021-07-23 16:09:00    124.882455   50.228000
2021-07-23 16:40:00    131.895386   14.502000","                     shear_stress  POC (mg/L)
Date_Time                                    
2021-07-23 16:40:00    131.895386      14.502
2021-07-23 16:55:00    129.521674      11.681
2021-07-23 19:19:00     96.345185       6.411
2021-07-23 21:02:00     86.958069       4.805",shear_stress,POC (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(2.864640754), 'y1': np.float64(51.66), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(37.004305481796884), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(6.411), 'y1': np.float64(11.681), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(7.00100149329735), 'extrapolated': False}",st1_down,POC (mg/L)
st1_down,-0.46062552389891886,100.05945057833333,6.949599626400989,12.884554116532952,"                     shear_stress  DOC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515       1.754
2021-07-23 15:50:00    113.726185       9.180
2021-07-23 16:09:00    124.882455      12.630
2021-07-23 16:40:00    131.895386      13.390","                     shear_stress  DOC (mg/L)
Date_Time                                    
2021-07-23 16:40:00    131.895386       13.39
2021-07-23 16:55:00    129.521674       13.00
2021-07-23 19:19:00     96.345185       12.87
2021-07-23 21:02:00     86.958069       11.55",shear_stress,DOC (mg/L),0.5,2021-07-23 15:25:58.319176704,2021-07-23 19:02:52.711024384,"{'x0': np.float64(68.22351489), 'x1': np.float64(113.7261855), 'y0': np.float64(1.754), 'y1': np.float64(9.18), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(6.949599626400989), 'extrapolated': False}","{'x0': np.float64(96.34518528400001), 'x1': np.float64(129.52167436666667), 'y0': np.float64(12.87), 'y1': np.float64(13.0), 'x_mid': np.float64(100.05945057833333), 'y_mid': np.float64(12.884554116532952), 'extrapolated': False}",st1_down,DOC (mg/L)
st1_up,0.8243132605085571,98.63474101833333,189.62168383831988,33.314015370431655,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515    4.409565
2021-07-23 14:54:00     83.757128   68.981000
2021-07-23 15:02:00     87.915423  124.475000
2021-07-23 16:13:00    126.540663  359.220000
2021-07-23 16:58:00    129.045967   86.111000","                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 16:58:00    129.045967      86.111
2021-07-23 17:58:00    110.251417      37.228
2021-07-23 20:13:00     90.089846      30.435",shear_stress,SSC (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(124.475), 'y1': np.float64(359.22), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(189.62168383831988), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(30.435), 'y1': np.float64(37.228), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(33.314015370431655), 'extrapolated': False}",st1_up,SSC (mg/L)
st1_up,0.024976341407063396,98.63474101833333,0.05748844820006557,0.056052597090858455,"                     shear_stress  SRP (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515     0.02625
2021-07-23 14:54:00     83.757128     0.04200
2021-07-23 15:02:00     87.915423     0.04500
2021-07-23 16:13:00    126.540663     0.09000
2021-07-23 16:58:00    129.045967     0.08300","                     shear_stress  SRP (mg/L)
Date_Time                                    
2021-07-23 16:58:00    129.045967       0.083
2021-07-23 17:58:00    110.251417       0.067
2021-07-23 20:13:00     90.089846       0.048",shear_stress,SRP (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(0.045), 'y1': np.float64(0.09), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.05748844820006557), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(0.048), 'y1': np.float64(0.067), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.056052597090858455), 'extrapolated': False}",st1_up,SRP (mg/L)
st1_up,0.4363341234398176,98.63474101833333,0.18716009920924154,0.10549576137786784,"                     shear_stress  TP (mg/L)
Date_Time                                   
2021-07-23 14:30:00     68.223515    0.03125
2021-07-23 14:54:00     83.757128    0.09400
2021-07-23 15:02:00     87.915423    0.12000
2021-07-23 16:13:00    126.540663    0.36200
2021-07-23 16:58:00    129.045967    0.20800","                     shear_stress  TP (mg/L)
Date_Time                                   
2021-07-23 16:58:00    129.045967      0.208
2021-07-23 17:58:00    110.251417      0.132
2021-07-23 20:13:00     90.089846      0.086",shear_stress,TP (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(0.12), 'y1': np.float64(0.362), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.18716009920924154), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(0.086), 'y1': np.float64(0.132), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.10549576137786784), 'extrapolated': False}",st1_up,TP (mg/L)
st1_up,0.8647506898430128,98.63474101833333,0.6629790781353444,0.08966746296632062,"                     shear_stress  PP (mg/L)
Date_Time                                   
2021-07-23 14:30:00     68.223515       0.00
2021-07-23 14:54:00     83.757128       0.15
2021-07-23 15:02:00     87.915423       0.28
2021-07-23 16:13:00    126.540663       1.66
2021-07-23 16:58:00    129.045967       0.38","                     shear_stress  PP (mg/L)
Date_Time                                   
2021-07-23 16:58:00    129.045967       0.38
2021-07-23 17:58:00    110.251417       0.13
2021-07-23 20:13:00     90.089846       0.06",shear_stress,PP (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(0.28), 'y1': np.float64(1.66), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.6629790781353444), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(0.06), 'y1': np.float64(0.13), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(0.08966746296632062), 'extrapolated': False}",st1_up,PP (mg/L)
st1_up,0.8159378259616124,98.63474101833333,32.92227078328149,6.0597447346512805,"                     shear_stress  POC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515    2.864641
2021-07-23 14:54:00     83.757128   11.105057
2021-07-23 15:02:00     87.915423   29.712121
2021-07-23 16:13:00    126.540663   41.279351
2021-07-23 16:58:00    129.045967    9.524065","                     shear_stress  POC (mg/L)
Date_Time                                    
2021-07-23 16:58:00    129.045967    9.524065
2021-07-23 17:58:00    110.251417    6.538644
2021-07-23 20:13:00     90.089846    5.707480",shear_stress,POC (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(29.71212071), 'y1': np.float64(41.27935076), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(32.92227078328149), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(5.707480069), 'y1': np.float64(6.538644049), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(6.0597447346512805), 'extrapolated': False}",st1_up,POC (mg/L)
st1_up,-0.46786944719285195,98.63474101833333,6.657833695327223,12.511654631002028,"                     shear_stress  DOC (mg/L)
Date_Time                                    
2021-07-23 14:30:00     68.223515       1.754
2021-07-23 14:54:00     83.757128       4.522
2021-07-23 15:02:00     87.915423       4.436
2021-07-23 16:13:00    126.540663      12.442
2021-07-23 16:58:00    129.045967      12.977","                     shear_stress  DOC (mg/L)
Date_Time                                    
2021-07-23 16:58:00    129.045967      12.977
2021-07-23 17:58:00    110.251417      13.108
2021-07-23 20:13:00     90.089846      12.073",shear_stress,DOC (mg/L),0.5,2021-07-23 15:21:42.239762944,2021-07-23 19:15:47.050713856,"{'x0': np.float64(87.91542323933332), 'x1': np.float64(126.54066252666667), 'y0': np.float64(4.436), 'y1': np.float64(12.442), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(6.657833695327223), 'extrapolated': False}","{'x0': np.float64(90.08984586733334), 'x1': np.float64(110.25141685333334), 'y0': np.float64(12.073), 'y1': np.float64(13.108), 'x_mid': np.float64(98.63474101833333), 'y_mid': np.float64(12.511654631002028), 'extrapolated': False}",st1_up,DOC (mg/L)
st2_down,0.8601515042096805,64.605340673,56.510857395733844,7.902958402614631,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-03 14:30:00     58.333339      2.9270
2022-08-03 15:02:00     61.869488     57.7261
2022-08-03 15:17:00     70.156915     48.0648
2022-08-03 15:47:00     67.998376     55.0037
2022-08-03 16:17:00     70.877342     45.1640","                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-03 16:17:00     70.877342     45.1640
2022-08-03 18:02:00     66.545412     17.4259
2022-08-03 18:17:00     66.101123     11.4463
2022-08-03 19:02:00     64.026015      6.5306",shear_stress,SSC (mg/L),0.5,2022-08-03 15:22:05.243546624,2022-08-03 18:49:26.217692928,"{'x0': np.float64(61.86948752), 'x1': np.float64(67.998376186), 'y0': np.float64(57.7261), 'y1': np.float64(55.0037), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(56.510857395733844), 'extrapolated': False}","{'x0': np.float64(64.02601483333333), 'x1': np.float64(66.101122928), 'y0': np.float64(6.5306), 'y1': np.float64(11.4463), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(7.902958402614631), 'extrapolated': False}",st2_down,SSC (mg/L)
st2_down,0.7517468469335598,64.605340673,0.033598897694143,0.008341032292127747,"                     shear_stress  SRP (mg/L)
Date_Time                                    
2022-08-03 14:30:00     58.333339    0.002000
2022-08-03 15:02:00     61.869488    0.014906
2022-08-03 15:17:00     70.156915    0.071531","                     shear_stress  SRP (mg/L)
Date_Time                                    
2022-08-03 15:17:00     70.156915    0.071531
2022-08-03 15:47:00     67.998376    0.054372
2022-08-03 18:17:00     66.101123    0.028633",shear_stress,SRP (mg/L),0.5,2022-08-03 15:06:57.108822272,,"{'x0': np.float64(61.86948752), 'x1': np.float64(70.15691506733333), 'y0': np.float64(0.0149059), 'y1': np.float64(0.0715306), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.033598897694143), 'extrapolated': False}","{'x0': np.float64(66.101122928), 'x1': np.float64(67.998376186), 'y0': np.float64(0.0286331), 'y1': np.float64(0.0543716), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.008341032292127744), 'extrapolated': True}",st2_down,SRP (mg/L)
st2_down,0.8765827738371255,64.605340673,0.09995942903536331,0.012336715460369248,"                     shear_stress  TP (mg/L)
Date_Time                                   
2022-08-03 14:30:00     58.333339   0.023000
2022-08-03 15:02:00     61.869488   0.099315
2022-08-03 15:17:00     70.156915   0.101267","                     shear_stress  TP (mg/L)
Date_Time                                   
2022-08-03 15:17:00     70.156915   0.101267
2022-08-03 15:47:00     67.998376   0.085650
2022-08-03 18:17:00     66.101123   0.044656",shear_stress,TP (mg/L),0.5,2022-08-03 15:06:57.108822272,,"{'x0': np.float64(61.86948752), 'x1': np.float64(70.15691506733333), 'y0': np.float64(0.099315), 'y1': np.float64(0.1012671), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.09995942903536331), 'extrapolated': False}","{'x0': np.float64(66.101122928), 'x1': np.float64(67.998376186), 'y0': np.float64(0.0446562), 'y1': np.float64(0.0856503), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.012336715460369248), 'extrapolated': True}",st2_down,TP (mg/L)
st2_down,0.9279164825369703,64.605340673,0.45359032691508405,0.0326963862512448,"                     shear_stress  PP (mg/L)
Date_Time                                   
2022-08-03 14:30:00     58.333339       0.00
2022-08-03 15:02:00     61.869488       0.48
2022-08-03 15:17:00     70.156915       0.40","                     shear_stress  PP (mg/L)
Date_Time                                   
2022-08-03 15:17:00     70.156915       0.40
2022-08-03 15:47:00     67.998376       0.14
2022-08-03 18:17:00     66.101123       0.08",shear_stress,PP (mg/L),0.5,2022-08-03 15:06:57.108822272,,"{'x0': np.float64(61.86948752), 'x1': np.float64(70.15691506733333), 'y0': np.float64(0.48), 'y1': np.float64(0.4), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.45359032691508405), 'extrapolated': False}","{'x0': np.float64(66.101122928), 'x1': np.float64(67.998376186), 'y0': np.float64(0.08), 'y1': np.float64(0.14), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(0.032696386251244804), 'extrapolated': True}",st2_down,PP (mg/L)
st2_down,0.5988144904114852,64.605340673,6.07279049490557,2.4363155493229804,"                     shear_stress  POC (mg/L)
Date_Time                                    
2022-08-03 14:30:00     58.333339    1.820000
2022-08-03 15:02:00     61.869488    6.784352
2022-08-03 15:17:00     70.156915    5.715476
2022-08-03 15:47:00     67.998376    5.190304
2022-08-03 16:17:00     70.877342    5.458812","                     shear_stress  POC (mg/L)
Date_Time                                    
2022-08-03 16:17:00     70.877342    5.458812
2022-08-03 18:02:00     66.545412    2.088218
2022-08-03 18:17:00     66.101123    3.149352
2022-08-03 19:02:00     64.026015    2.160152",shear_stress,POC (mg/L),0.5,2022-08-03 15:22:05.243546624,2022-08-03 18:49:26.217692928,"{'x0': np.float64(61.86948752), 'x1': np.float64(67.998376186), 'y0': np.float64(6.78435168), 'y1': np.float64(5.190304398), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(6.07279049490557), 'extrapolated': False}","{'x0': np.float64(64.02601483333333), 'x1': np.float64(66.101122928), 'y0': np.float64(2.160152022), 'y1': np.float64(3.149352109), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(2.4363155493229804), 'extrapolated': False}",st2_down,POC (mg/L)
st2_down,0.28511004274399543,64.605340673,6.306618649176813,4.508538336539933,"                     shear_stress  DOC (mg/L)
Date_Time                                    
2022-08-03 14:30:00     58.333339       2.804
2022-08-03 15:02:00     61.869488       4.913
2022-08-03 15:17:00     70.156915       6.550
2022-08-03 15:47:00     67.998376       8.035
2022-08-03 16:17:00     70.877342       8.691","                     shear_stress  DOC (mg/L)
Date_Time                                    
2022-08-03 16:17:00     70.877342       8.691
2022-08-03 18:02:00     66.545412       8.124
2022-08-03 18:17:00     66.101123       8.073
2022-08-03 19:02:00     64.026015       3.128",shear_stress,DOC (mg/L),0.5,2022-08-03 15:22:05.243546624,2022-08-03 18:49:26.217692928,"{'x0': np.float64(61.86948752), 'x1': np.float64(67.998376186), 'y0': np.float64(4.913), 'y1': np.float64(8.035), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(6.306618649176813), 'extrapolated': False}","{'x0': np.float64(64.02601483333333), 'x1': np.float64(66.101122928), 'y0': np.float64(3.128), 'y1': np.float64(8.073), 'x_mid': np.float64(64.605340673), 'y_mid': np.float64(4.508538336539933), 'extrapolated': False}",st2_down,DOC (mg/L)
st3_down,0.6298154879658207,68.58718418699999,16.670097250241206,6.171011816142855,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-08 13:15:00     62.624899    2.927000
2022-08-08 13:43:00     64.422767    8.479607
2022-08-08 13:58:00     65.622902   10.743802
2022-08-08 14:13:00     70.171737   19.837990
2022-08-08 14:28:00     73.048145   49.091802
2022-08-08 14:43:00     74.549470   35.385122","                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-08 14:43:00     74.549470   35.385122
2022-08-08 15:23:00     73.649884   23.681202
2022-08-08 16:13:00     70.439187    9.888752
2022-08-08 16:43:00     69.146411    7.950000
2022-08-08 16:58:00     67.930071    4.080633
2022-08-08 17:28:00     67.382843    1.645549
2022-08-08 17:58:00     66.371712    0.844737
2022-08-08 18:13:00     66.902201    5.719422",shear_stress,SSC (mg/L),0.5,2022-08-08 14:07:46.491722240,2022-08-08 16:49:53.785897216,"{'x0': np.float64(65.62290178866667), 'x1': np.float64(70.17173693466667), 'y0': np.float64(10.74380165), 'y1': np.float64(19.83798975), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(16.670097250241206), 'extrapolated': False}","{'x0': np.float64(67.930071086), 'x1': np.float64(69.14641135133333), 'y0': np.float64(4.080633314), 'y1': np.float64(7.95), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(6.171011816142855), 'extrapolated': False}",st3_down,SSC (mg/L)
st3_down,-0.4877699897309118,68.58718418699999,0.017639246465372002,0.03443618318283544,"                     shear_stress  SRP (mg/L)
Date_Time                                    
2022-08-08 13:15:00     62.624899    0.002000
2022-08-08 13:58:00     65.622902    0.011474
2022-08-08 14:28:00     73.048145    0.026917
2022-08-08 15:23:00     73.649884    0.050940","                     shear_stress  SRP (mg/L)
Date_Time                                    
2022-08-08 15:23:00     73.649884    0.050940
2022-08-08 16:13:00     70.439187    0.038928
2022-08-08 18:13:00     66.902201    0.030349",shear_stress,SRP (mg/L),0.5,2022-08-08 14:09:58.590415104,2022-08-08 17:15:49.996046848,"{'x0': np.float64(65.62290178866667), 'x1': np.float64(73.04814460533333), 'y0': np.float64(0.0114741), 'y1': np.float64(0.0269172), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.017639246465372002), 'extrapolated': False}","{'x0': np.float64(66.90220141), 'x1': np.float64(70.43918741933332), 'y0': np.float64(0.030349), 'y1': np.float64(0.0389285), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.03443618318283544), 'extrapolated': False}",st3_down,SRP (mg/L)
st3_down,0.12204114584307901,68.58718418699999,0.04292408384173807,0.037685579465427964,"                     shear_stress  TP (mg/L)
Date_Time                                   
2022-08-08 13:15:00     62.624899   0.023000
2022-08-08 13:58:00     65.622902   0.029039
2022-08-08 14:28:00     73.048145   0.063819
2022-08-08 15:23:00     73.649884   0.073938","                     shear_stress  TP (mg/L)
Date_Time                                   
2022-08-08 15:23:00     73.649884   0.073938
2022-08-08 16:13:00     70.439187   0.040752
2022-08-08 18:13:00     66.902201   0.034896",shear_stress,TP (mg/L),0.5,2022-08-08 14:09:58.590415104,2022-08-08 17:15:49.996046848,"{'x0': np.float64(65.62290178866667), 'x1': np.float64(73.04814460533333), 'y0': np.float64(0.0290394), 'y1': np.float64(0.0638192), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.04292408384173807), 'extrapolated': False}","{'x0': np.float64(66.90220141), 'x1': np.float64(70.43918741933332), 'y0': np.float64(0.0348957), 'y1': np.float64(0.040752), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.037685579465427964), 'extrapolated': False}",st3_down,TP (mg/L)
st3_down,-0.38672859448599073,68.58718418699999,0.1039921689721442,0.1695695707269832,"                     shear_stress  PP (mg/L)
Date_Time                                   
2022-08-08 13:15:00     62.624899       0.00
2022-08-08 13:58:00     65.622902       0.10
2022-08-08 14:28:00     73.048145       0.11
2022-08-08 15:23:00     73.649884       0.17","                     shear_stress  PP (mg/L)
Date_Time                                   
2022-08-08 15:23:00     73.649884       0.17
2022-08-08 16:13:00     70.439187       0.29
2022-08-08 18:13:00     66.902201       0.06",shear_stress,PP (mg/L),0.5,2022-08-08 14:09:58.590415104,2022-08-08 17:15:49.996046848,"{'x0': np.float64(65.62290178866667), 'x1': np.float64(73.04814460533333), 'y0': np.float64(0.1), 'y1': np.float64(0.11), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.1039921689721442), 'extrapolated': False}","{'x0': np.float64(66.90220141), 'x1': np.float64(70.43918741933332), 'y0': np.float64(0.06), 'y1': np.float64(0.29), 'x_mid': np.float64(68.58718418699999), 'y_mid': np.float64(0.1695695707269832), 'extrapolated': False}",st3_down,PP (mg/L)
