storm,HI10,HI20,HI30,HI40,HI50,HI60,HI70,HI80,HI90,HI_avg
st1_down,-0.09754224720110649,-0.4075920071742065,-0.7695757297813101,-0.7752927099047747,-0.5355035912190113,-0.4429485273237474,-0.5355962833665802,-0.5887493185439555,-0.40015699205470084,-0.5058841562854881
st1_up,-0.03626075544584412,-0.3491316340431604,-0.6807455306759493,-0.7097553018246471,-0.5726695012237024,-0.5336057838515107,-0.595054823074711,-0.6421073636144734,-0.46963125553754903,-0.5098846610323942
st2_down,-0.5640102327981226,-0.6077123706008222,-0.7035046986854182,-0.7417587617683139,-0.7338927770025598,-0.7681393710469214,-0.7469382723787866,-0.641685626568328,-0.5950151080535403,-0.6780730243225348
st2_up,,,,,,,,,,
st3_down,-0.4173973374074556,-0.4641775212466124,-0.7354504748237037,-0.791235685277037,-0.7490821690074795,-0.7240529399542306,-0.6936455599159048,-0.5899964626431075,-0.43421969203317057,-0.6221397602565225
st3_up,,,,,,,,,,
st4_down,-0.6575462800319047,-0.8178268808172003,-0.7034969588425386,-0.6241416283264343,-0.547803399615404,-0.5353350119739052,-0.5012711930613301,-0.17454616639875237,-0.08931467977301294,-0.516809133204498
st4_up,-0.06396361537889285,-0.4980775150372124,-0.6243304133626946,-0.44072882110680583,-0.4811605063425781,-0.4040951878065503,-0.3694041021026713,-0.1421799708201626,-0.0727797993005343,-0.34407999236201137
st5_down,-0.4565215415428773,-0.15012458777446192,-0.12486959989968632,-0.08837969007871804,-0.06376494867594562,-0.04923948974935555,-0.05406910078261229,0.13350268830762824,0.35967433263949844,-0.054865770839614476
st5_up,,,,,,,,,,
st6_down,-0.8088903909095267,-0.779968867976911,-0.77642656657645,-0.7170952368029371,-0.6764367524714898,-0.6475385787359942,-0.6405263119177166,-0.37767899501314217,-0.1948415616460305,-0.6243781402277998
st6_up,,,,,,,,,,
st7_down,,,,,,,,,,
st7_up,-0.3049828045631692,-0.5710909891606119,-0.6279926196996342,-0.7052400776037573,-0.7493390725804163,-0.3862603819630611,-0.18666214951165927,0.1381213248451914,0.055136626751904616,-0.3709233492761348
