storm_name,HI,tau_mid,c_rise,c_fall,rise,fall,tau_col,constituent_col,k,t_rise_mid,t_fall_mid,rise_bracket,fall_bracket,peak_label,storm,constituent
SP23_down_constituents,0.5077974318890675,0.5,0.44828397325043634,0.22064652287683736,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2023-04-15 12:30:00      0.136313    0.294785
2023-04-15 16:30:00      0.172986    0.225564
2023-04-15 20:30:00      0.227613    0.119048
2023-04-16 00:30:00      0.247588    0.095238
2023-04-16 12:30:00      0.000000    0.249433
...                           ...         ...
2023-05-02 17:00:00      0.800717    0.428571
2023-05-03 00:00:00      0.729402    0.222222
2023-05-03 07:00:00      0.793316    0.136054
2023-05-03 14:00:00      0.723784    0.068027
2023-05-03 20:00:00      1.000000    0.492063

[66 rows x 2 columns]","                     shear_stress  SSC (mg/L)
Date_Time                                    
2023-05-03 20:00:00      1.000000    0.492063
2023-05-04 02:00:00      0.921218    0.282738
2023-05-04 02:00:00      0.921218    0.111111
2023-05-04 08:00:00      0.772369    0.068027
2023-05-04 17:00:00      0.862274    0.208333
2023-05-04 23:00:00      0.903234    0.222222
2023-05-05 02:00:00      0.859217    0.170068",shear_stress,SSC (mg/L),0.5,1970-01-20 11:09:16.643091658,1970-01-20 11:33:58.749472389,"{'t0': Timestamp('1970-01-20 11:09:09'), 't1': Timestamp('1970-01-20 11:09:23.400000'), 'tau0': np.float64(0.4585384963184563), 'tau1': np.float64(0.5366542222183888), 'c0': np.float64(0.5513784461904762), 'c1': np.float64(0.35714285714285715), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 11:33:39.600000'), 't1': Timestamp('1970-01-20 11:34:01.200000'), 'tau0': np.float64(0.8622735924513225), 'tau1': np.float64(0.903234129334761), 'c0': np.float64(0.20833333333333334), 'c1': np.float64(0.22222222221428573), 'extrapolated': False}",2023-05-03 20:00:00,SP23_down_constituents,SSC (mg/L)
SP23_down_constituents,-0.9150286729534629,0.5,0.08465834141501291,0.9963165735736622,"                     shear_stress  Turbidity FNU
Date_Time                                       
2023-04-15 12:30:00      0.136313       0.996267
2023-04-15 16:30:00      0.172986       0.996267
2023-04-15 20:30:00      0.227613       0.996267
2023-04-16 00:30:00      0.247588       0.996267
2023-04-16 12:30:00      0.000000       0.996267
...                           ...            ...
2023-05-02 17:00:00      0.800717       0.996729
2023-05-03 00:00:00      0.729402       0.996607
2023-05-03 07:00:00      0.793316       0.996433
2023-05-03 14:00:00      0.723784       0.996641
2023-05-03 20:00:00      1.000000       0.997628

[73 rows x 2 columns]","                     shear_stress  Turbidity FNU
Date_Time                                       
2023-05-03 20:00:00      1.000000       0.997628
2023-05-03 23:00:00      0.987642       0.997058
2023-05-04 02:00:00      0.921218       0.996695
2023-05-04 02:00:00      0.921218       0.996695
2023-05-04 05:00:00      0.824432       0.996484
2023-05-04 08:00:00      0.772369       0.996538
2023-05-04 11:00:00      0.674086       0.996514
2023-05-04 17:00:00      0.862274       0.997152
2023-05-04 23:00:00      0.903234       0.996625
2023-05-05 02:00:00      0.859217       0.996478",shear_stress,Turbidity FNU,0.5,1970-01-20 11:09:16.643091658,1970-01-20 11:34:23.838470676,"{'t0': Timestamp('1970-01-20 11:09:09'), 't1': Timestamp('1970-01-20 11:09:23.400000'), 'tau0': np.float64(0.4585384963184563), 'tau1': np.float64(0.5366542222183888), 'c0': np.float64(0.0), 'c1': np.float64(0.15950091545744824), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 11:33:18'), 't1': Timestamp('1970-01-20 11:34:12'), 'tau0': np.float64(0.6740864501509809), 'tau1': np.float64(0.8592168607060336), 'c0': np.float64(0.9965140673097023), 'c1': np.float64(0.9964780189689644), 'extrapolated': True}",2023-05-03 20:00:00,SP23_down_constituents,Turbidity FNU
SP23_up_constituents,0.9658015705666977,0.5,0.2322156154806492,0.007941409339325843,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2023-04-17 16:30:00      0.187520    0.348315
2023-04-17 20:30:00      0.304735    0.000000
2023-04-18 00:30:00      0.238775    0.130787
2023-04-18 08:30:00      0.123466    0.213483
2023-04-18 12:30:00      0.055933    0.142022
...                           ...         ...
2023-05-02 17:00:00      0.700969    0.087191
2023-05-03 00:00:00      0.593960    0.063596
2023-05-03 07:00:00      0.689865    0.101124
2023-05-03 14:00:00      0.585529    0.228539
2023-05-03 20:00:00      1.000000    0.536404

[63 rows x 2 columns]","                     shear_stress  SSC (mg/L)
Date_Time                                    
2023-05-03 20:00:00      1.000000    0.536404
2023-05-04 05:00:00      0.736555    0.115056
2023-05-04 14:00:00      0.684664    0.017753
2023-05-04 20:00:00      0.893517    0.004719
2023-05-04 23:00:00      0.854800    0.117079
2023-05-05 05:00:00      0.699932    0.036854
2023-05-05 11:00:00      0.560329    0.003820",shear_stress,SSC (mg/L),0.5,1970-01-20 11:12:00.151177000,1970-01-20 11:33:45.059857488,"{'t0': Timestamp('1970-01-20 11:11:47.400000'), 't1': Timestamp('1970-01-20 11:12:05.400000'), 'tau0': np.float64(0.2630608660664844), 'tau1': np.float64(0.5975322964842636), 'c0': np.float64(0.16853932584269662), 'c1': np.float64(0.25842696629213485), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 11:33:28.800000'), 't1': Timestamp('1970-01-20 11:33:50.400000'), 'tau0': np.float64(0.6846642339720356), 'tau1': np.float64(0.8935171006549828), 'c0': np.float64(0.017752808988764045), 'c1': np.float64(0.004719101123595505), 'extrapolated': False}",2023-05-03 20:00:00,SP23_up_constituents,SSC (mg/L)
SP23_up_constituents,0.0005001512869146074,0.5,0.9975538989115569,0.9970549710452495,"                     shear_stress  Turbidity FNU
Date_Time                                       
2023-04-17 16:30:00      0.187520       0.000000
2023-04-17 20:30:00      0.304735       0.997935
2023-04-18 00:30:00      0.238775       0.997396
2023-04-18 04:30:00      0.177217       0.997372
2023-04-18 08:30:00      0.123466       0.997419
...                           ...            ...
2023-05-02 17:00:00      0.700969       0.983865
2023-05-03 00:00:00      0.593960       0.997065
2023-05-03 07:00:00      0.689865       0.997184
2023-05-03 14:00:00      0.585529       0.997130
2023-05-03 20:00:00      1.000000       0.998365

[69 rows x 2 columns]","                     shear_stress  Turbidity FNU
Date_Time                                       
2023-05-03 20:00:00      1.000000       0.998365
2023-05-03 23:00:00      0.981456       0.997642
2023-05-04 02:00:00      0.881785       0.997384
2023-05-04 05:00:00      0.736555       0.997201
2023-05-04 08:00:00      0.658433       0.996949
2023-05-04 11:00:00      0.510956       0.996987
2023-05-04 14:00:00      0.684664       0.997105
2023-05-04 17:00:00      0.793337       0.997835
2023-05-04 20:00:00      0.893517       0.997482
2023-05-04 23:00:00      0.854800       0.997086
2023-05-05 02:00:00      0.788750       0.996898
2023-05-05 05:00:00      0.699932       0.996697
2023-05-05 08:00:00      0.698673       0.996975
2023-05-05 11:00:00      0.560329       0.996806
2023-05-05 14:00:00      0.555754       0.996886
2023-05-05 17:00:00      0.745465       0.997129",shear_stress,Turbidity FNU,0.5,1970-01-20 11:12:00.151177000,1970-01-20 11:33:24.204454970,"{'t0': Timestamp('1970-01-20 11:11:47.400000'), 't1': Timestamp('1970-01-20 11:12:05.400000'), 'tau0': np.float64(0.2630608660664844), 'tau1': np.float64(0.5975322964842636), 'c0': np.float64(0.9972443798856236), 'c1': np.float64(0.9976813075878113), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 11:33:18'), 't1': Timestamp('1970-01-20 11:33:28.800000'), 'tau0': np.float64(0.5109563427610815), 'tau1': np.float64(0.6846642339720356), 'c0': np.float64(0.9969868131956536), 'c1': np.float64(0.9971054545234085), 'extrapolated': False}",2023-05-03 20:00:00,SP23_up_constituents,Turbidity FNU
st1_down,0.9035660736465991,0.5,0.6996498283333333,0.06746998001866623,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 14:30:00      0.000000    0.000000
2021-07-23 15:50:00      0.714643    1.000000
2021-07-23 16:09:00      0.889858    0.938537
2021-07-23 16:40:00      1.000000    0.248710","                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 16:40:00      1.000000    0.248710
2021-07-23 16:55:00      0.962720    0.140437
2021-07-23 19:19:00      0.441666    0.058271
2021-07-23 21:02:00      0.294236    0.031550",shear_stress,SSC (mg/L),0.5,1970-01-19 19:57:33.958319176,1970-01-19 19:57:46.972711024,"{'t0': Timestamp('1970-01-19 19:57:30.600000'), 't1': Timestamp('1970-01-19 19:57:35.400000'), 'tau0': np.float64(0.0), 'tau1': np.float64(0.7146432109842936), 'c0': np.float64(0.0), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-19 19:57:39.300000'), 't1': Timestamp('1970-01-19 19:57:47.940000'), 'tau0': np.float64(0.962719614663786), 'tau1': np.float64(0.44166552334608367), 'c0': np.float64(0.14043655690244908), 'c1': np.float64(0.058271175943370244), 'extrapolated': False}",2021-07-23 16:40:00,st1_down,SSC (mg/L)
st1_down,0.6504890683367636,0.5,0.316990292027965,0.11079157229489545,"                     shear_stress  Turbidity FNU
Date_Time                                       
2021-07-23 14:30:00      0.000000       0.000000
2021-07-23 15:50:00      0.714643       0.453070
2021-07-23 16:09:00      0.889858       1.000000
2021-07-23 16:40:00      1.000000       0.378684","                     shear_stress  Turbidity FNU
Date_Time                                       
2021-07-23 16:40:00      1.000000       0.378684
2021-07-23 16:55:00      0.962720       0.357229
2021-07-23 19:19:00      0.441666       0.079723
2021-07-23 21:02:00      0.294236       0.061051",shear_stress,Turbidity FNU,0.5,1970-01-19 19:57:33.958319176,1970-01-19 19:57:46.972711024,"{'t0': Timestamp('1970-01-19 19:57:30.600000'), 't1': Timestamp('1970-01-19 19:57:35.400000'), 'tau0': np.float64(0.0), 'tau1': np.float64(0.7146432109842936), 'c0': np.float64(0.0), 'c1': np.float64(0.4530699203958666), 'extrapolated': False}","{'t0': Timestamp('1970-01-19 19:57:39.300000'), 't1': Timestamp('1970-01-19 19:57:47.940000'), 'tau0': np.float64(0.962719614663786), 'tau1': np.float64(0.44166552334608367), 'c0': np.float64(0.35722943248590777), 'c1': np.float64(0.07972346290224909), 'extrapolated': False}",2021-07-23 16:40:00,st1_down,Turbidity FNU
st1_up,0.8439386653908993,0.5,0.5220030208187566,0.08146448809895733,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 14:30:00      0.000000    0.000000
2021-07-23 14:54:00      0.255393    0.181989
2021-07-23 15:02:00      0.323761    0.338393
2021-07-23 16:13:00      0.958810    1.000000
2021-07-23 16:58:00      1.000000    0.230268","                     shear_stress  SSC (mg/L)
Date_Time                                    
2021-07-23 16:58:00      1.000000    0.230268
2021-07-23 17:58:00      0.690993    0.092496
2021-07-23 20:13:00      0.359511    0.073350",shear_stress,SSC (mg/L),0.5,1970-01-19 19:57:33.702239763,1970-01-19 19:57:47.747050714,"{'t0': Timestamp('1970-01-19 19:57:32.520000'), 't1': Timestamp('1970-01-19 19:57:36.780000'), 'tau0': np.float64(0.32376051307886744), 'tau1': np.float64(0.9588095427420817), 'c0': np.float64(0.3383931903360617), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-19 19:57:43.080000'), 't1': Timestamp('1970-01-19 19:57:51.180000'), 'tau0': np.float64(0.6909932172083166), 'tau1': np.float64(0.3595108412442643), 'c0': np.float64(0.09249568741693834), 'c1': np.float64(0.07335025276211231), 'extrapolated': False}",2021-07-23 16:58:00,st1_up,SSC (mg/L)
st1_up,0.7539356018039421,0.5,0.33127484280749164,0.08151494483291909,"                     shear_stress  Turbidity FNU
Date_Time                                       
2021-07-23 14:30:00      0.000000       0.000000
2021-07-23 14:54:00      0.255393       0.042765
2021-07-23 15:02:00      0.323761       0.074402
2021-07-23 16:13:00      0.958810       1.000000
2021-07-23 16:58:00      1.000000       0.316044","                     shear_stress  Turbidity FNU
Date_Time                                       
2021-07-23 16:58:00      1.000000       0.316044
2021-07-23 17:58:00      0.690993       0.131180
2021-07-23 20:13:00      0.359511       0.044983",shear_stress,Turbidity FNU,0.5,1970-01-19 19:57:33.702239763,1970-01-19 19:57:47.747050714,"{'t0': Timestamp('1970-01-19 19:57:32.520000'), 't1': Timestamp('1970-01-19 19:57:36.780000'), 'tau0': np.float64(0.32376051307886744), 'tau1': np.float64(0.9588095427420817), 'c0': np.float64(0.0744018538569203), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-19 19:57:43.080000'), 't1': Timestamp('1970-01-19 19:57:51.180000'), 'tau0': np.float64(0.6909932172083166), 'tau1': np.float64(0.3595108412442643), 'c0': np.float64(0.1311795230675786), 'c1': np.float64(0.044983098740327965), 'extrapolated': False}",2021-07-23 16:58:00,st1_up,Turbidity FNU
st2_down,0.9035848274544752,0.5,0.9417983656668205,0.09080365192885974,"                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-03 14:30:00      0.000000    0.000000
2022-08-03 15:02:00      0.281900    1.000000
2022-08-03 15:17:00      0.942568    0.823696
2022-08-03 15:47:00      0.770491    0.950320
2022-08-03 16:17:00      1.000000    0.770761","                     shear_stress  SSC (mg/L)
Date_Time                                    
2022-08-03 16:17:00      1.000000    0.770761
2022-08-03 18:02:00      0.654661    0.264583
2022-08-03 18:17:00      0.619243    0.155464
2022-08-03 19:02:00      0.453817    0.065760",shear_stress,SSC (mg/L),0.5,1970-01-20 04:58:59.217108822,1970-01-20 04:59:12.566217693,"{'t0': Timestamp('1970-01-20 04:58:58.920000'), 't1': Timestamp('1970-01-20 04:58:59.820000'), 'tau0': np.float64(0.28189952504738), 'tau1': np.float64(0.9425679831577221), 'c0': np.float64(1.0), 'c1': np.float64(0.8236960096059971), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:59:10.620000'), 't1': Timestamp('1970-01-20 04:59:13.320000'), 'tau0': np.float64(0.6192428109248015), 'tau1': np.float64(0.4538165121746121), 'c0': np.float64(0.15546423207680418), 'c1': np.float64(0.06576020409094309), 'extrapolated': False}",2022-08-03 16:17:00,st2_down,SSC (mg/L)
st2_down,0.7830675633396178,0.5,0.8599537660033151,0.18655186587437123,"                     shear_stress  Turbidity FNU
Date_Time                                       
2022-08-03 14:30:00      0.000000       0.000000
2022-08-03 15:02:00      0.281900       0.790938
2022-08-03 15:17:00      0.942568       1.000000
2022-08-03 15:47:00      0.770491       0.341695
2022-08-03 16:17:00      1.000000       0.536510","                     shear_stress  Turbidity FNU
Date_Time                                       
2022-08-03 16:17:00      1.000000       0.536510
2022-08-03 18:02:00      0.654661       0.288014
2022-08-03 18:17:00      0.619243       0.254940
2022-08-03 19:02:00      0.453817       0.160065",shear_stress,Turbidity FNU,0.5,1970-01-20 04:58:59.217108822,1970-01-20 04:59:12.566217693,"{'t0': Timestamp('1970-01-20 04:58:58.920000'), 't1': Timestamp('1970-01-20 04:58:59.820000'), 'tau0': np.float64(0.28189952504738), 'tau1': np.float64(0.9425679831577221), 'c0': np.float64(0.7909380412313539), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:59:10.620000'), 't1': Timestamp('1970-01-20 04:59:13.320000'), 'tau0': np.float64(0.6192428109248015), 'tau1': np.float64(0.4538165121746121), 'c0': np.float64(0.25493975454867124), 'c1': np.float64(0.16006480808983742), 'extrapolated': False}",2022-08-03 16:17:00,st2_down,Turbidity FNU
