datetime,LowerLaJara
10/1/2020 0:00,0.591
10/1/2020 0:30,0.592
10/1/2020 1:00,0.594
10/1/2020 1:30,0.594
10/1/2020 2:00,0.599
10/1/2020 2:30,0.595
10/1/2020 3:00,0.599
10/1/2020 3:30,0.6
10/1/2020 4:00,0.602
10/1/2020 4:30,0.599
10/1/2020 5:00,0.602
10/1/2020 5:30,0.599
10/1/2020 6:00,0.602
10/1/2020 6:30,0.605
10/1/2020 7:00,0.6
10/1/2020 7:30,0.602
10/1/2020 8:00,0.603
10/1/2020 8:30,0.606
10/1/2020 9:00,0.605
10/1/2020 9:30,0.603
10/1/2020 10:00,0.591
10/1/2020 10:30,0.585
10/1/2020 11:00,0.58
10/1/2020 11:30,0.574
10/1/2020 12:00,0.572
10/1/2020 12:30,0.572
10/1/2020 13:00,0.572
10/1/2020 13:30,0.568
10/1/2020 14:00,0.563
10/1/2020 14:30,0.566
10/1/2020 15:00,0.56
10/1/2020 15:30,0.56
10/1/2020 16:00,0.557
10/1/2020 16:30,0.563
10/1/2020 17:00,0.563
10/1/2020 17:30,0.56
10/1/2020 18:00,0.563
10/1/2020 18:30,0.564
10/1/2020 19:00,0.569
10/1/2020 19:30,0.571
10/1/2020 20:00,0.574
10/1/2020 20:30,0.58
10/1/2020 21:00,0.577
10/1/2020 21:30,0.577
10/1/2020 22:00,0.578
10/1/2020 22:30,0.589
10/1/2020 23:00,0.583
10/1/2020 23:30,0.592
10/2/2020 0:00,0.595
10/2/2020 0:30,0.592
10/2/2020 1:00,0.592
10/2/2020 1:30,0.599
10/2/2020 2:00,0.6
10/2/2020 2:30,0.6
10/2/2020 3:00,0.6
10/2/2020 3:30,0.6
10/2/2020 4:00,0.606
10/2/2020 4:30,0.603
10/2/2020 5:00,0.606
10/2/2020 5:30,0.6
10/2/2020 6:00,0.608
10/2/2020 6:30,0.605
10/2/2020 7:00,0.606
10/2/2020 7:30,0.606
10/2/2020 8:00,0.611
10/2/2020 8:30,0.606
10/2/2020 9:00,0.61
10/2/2020 9:30,0.611
10/2/2020 10:00,0.602
10/2/2020 10:30,0.592
10/2/2020 11:00,0.585
10/2/2020 11:30,0.58
10/2/2020 12:00,0.574
10/2/2020 12:30,0.575
10/2/2020 13:00,0.566
10/2/2020 13:30,0.569
10/2/2020 14:00,0.568
10/2/2020 14:30,0.563
10/2/2020 15:00,0.561
10/2/2020 15:30,0.566
10/2/2020 16:00,0.566
10/2/2020 16:30,0.568
10/2/2020 17:00,0.566
10/2/2020 17:30,0.56
10/2/2020 18:00,0.561
10/2/2020 18:30,0.56
10/2/2020 19:00,0.564
10/2/2020 19:30,0.571
10/2/2020 20:00,0.571
10/2/2020 20:30,0.572
10/2/2020 21:00,0.577
10/2/2020 21:30,0.575
10/2/2020 22:00,0.578
10/2/2020 22:30,0.577
10/2/2020 23:00,0.58
10/2/2020 23:30,0.583
10/3/2020 0:00,0.588
10/3/2020 0:30,0.591
10/3/2020 1:00,0.586
10/3/2020 1:30,0.591
10/3/2020 2:00,0.592
10/3/2020 2:30,0.592
10/3/2020 3:00,0.595
10/3/2020 3:30,0.595
10/3/2020 4:00,0.594
10/3/2020 4:30,0.599
10/3/2020 5:00,0.597
10/3/2020 5:30,0.597
10/3/2020 6:00,0.605
10/3/2020 6:30,0.606
10/3/2020 7:00,0.606
10/3/2020 7:30,0.606
10/3/2020 8:00,0.603
10/3/2020 8:30,0.605
10/3/2020 9:00,0.608
10/3/2020 9:30,0.606
10/3/2020 10:00,0.599
10/3/2020 10:30,0.592
10/3/2020 11:00,0.585
10/3/2020 11:30,0.588
10/3/2020 12:00,0.585
10/3/2020 12:30,0.574
10/3/2020 13:00,0.577
10/3/2020 13:30,0.567
10/3/2020 14:00,0.568
10/3/2020 14:30,0.567
10/3/2020 15:00,0.566
10/3/2020 15:30,0.567
10/3/2020 16:00,0.567
10/3/2020 16:30,0.569
10/3/2020 17:00,0.571
10/3/2020 17:30,0.566
10/3/2020 18:00,0.568
10/3/2020 18:30,0.571
10/3/2020 19:00,0.564
10/3/2020 19:30,0.571
10/3/2020 20:00,0.574
10/3/2020 20:30,0.575
10/3/2020 21:00,0.571
10/3/2020 21:30,0.581
10/3/2020 22:00,0.585
10/3/2020 22:30,0.586
10/3/2020 23:00,0.591
10/3/2020 23:30,0.591
10/4/2020 0:00,0.595
10/4/2020 0:30,0.591
10/4/2020 1:00,0.602
10/4/2020 1:30,0.599
10/4/2020 2:00,0.603
10/4/2020 2:30,0.6
10/4/2020 3:00,0.608
10/4/2020 3:30,0.605
10/4/2020 4:00,0.61
10/4/2020 4:30,0.608
10/4/2020 5:00,0.611
10/4/2020 5:30,0.613
10/4/2020 6:00,0.608
10/4/2020 6:30,0.614
10/4/2020 7:00,0.617
10/4/2020 7:30,0.614
10/4/2020 8:00,0.614
10/4/2020 8:30,0.617
10/4/2020 9:00,0.619
10/4/2020 9:30,0.621
10/4/2020 10:00,0.614
10/4/2020 10:30,0.603
10/4/2020 11:00,0.6
10/4/2020 11:30,0.595
10/4/2020 12:00,0.588
10/4/2020 12:30,0.588
10/4/2020 13:00,0.586
10/4/2020 13:30,0.578
10/4/2020 14:00,0.577
10/4/2020 14:30,0.578
10/4/2020 15:00,0.568
10/4/2020 15:30,0.566
10/4/2020 16:00,0.564
10/4/2020 16:30,0.568
10/4/2020 17:00,0.563
10/4/2020 17:30,0.564
10/4/2020 18:00,0.567
10/4/2020 18:30,0.571
10/4/2020 19:00,0.568
10/4/2020 19:30,0.572
10/4/2020 20:00,0.577
10/4/2020 20:30,0.583
10/4/2020 21:00,0.588
10/4/2020 21:30,0.586
10/4/2020 22:00,0.586
10/4/2020 22:30,0.586
10/4/2020 23:00,0.589
10/4/2020 23:30,0.588
