lab_ID,334,229,226,225,234,227,242,245,214,191,252,244,240,-,-,-,-,-,-,338,339,335,342,341,328,-,-,-,-,-,309,343,345,344,350,-,356,351,346,323,324,327,253,237,219,310,269,220,291,192,193,207,222,190,206,205,250,216,215,213
sample,UP68,D11,D8,D7,D16,D9,UP22,UP25,UP8,UP2,UP32,UP24,UP20,GSUT,GSUB,GSLT,GSLB,GSBEDLOAD,GSSIDE,UP77,UP78,UP69,UP84,UP82,UP62,UP71,UP74,UP79,UP81,UP76,UP56,D55,D57,D56,D65,D71,D70,D64,D58,D50,D51,D54,UP33,UP17,UP13,UP57,UP34,UP14,UP48,UP3,UP4,D4,D3,UP1,D2,D1,UP30,UP10,UP9,UP7
sediment (mg),0.0016,0.0007,0.003,0.0046,0.001,0.002,0.001,0.0012,0.0021,-,-,0.0008,0.0025,-,-,-,-,-,-,0.0001,0.0008,0.0039,-,0.0001,0.003,-,-,-,-,-,0.0019,0.0031,0.0009,0.0015,0.0031,-,0.001,0.0019,0.0027,0.0063,0.0027,0.0009,0.0024,0.0007,0.0006,0.0063,0.001,0.0008,0.001,-,-,0.0019,0.0017,-,0.003,0.0044,0.0013,0.0013,0.0036,0.0043
SSC (mg/L),10.667,3.5,15,23,6.25,10,6.67,8,11.053,-,-,5.333,17.857,-,-,-,-,-,-,0.714,5.714,24.375,-,0.667,20,-,-,-,-,-,12.667,22.143,6.429,10,20.667,-,7.143,11.875,18,42,17.419,6,15,4.667,6,45,7.143,8.889,6.667,-,-,9.5,8.947,-,15,23.158,8.667,6.5,18,21.5
D50,54.92,57.345,78.83,47.095,49.8,68.87,80.92,59.21,66.14,51.72,59.13,65.03,75.8,74.30333333,62.445,78.205,62.12,77.5475,67.07,30.57,26.82,49.95,50.42,44.19,87.02,36.2,133.34,113.11,93.39,79.66,79.88,102.87,76.46,68.71,86.67,86.2,50.79,71.05,78.58,74.05,79.16,58.66,48.05,58.21,38.82,53.17,25.35,52.1,47.98,91.46,58.71,66.54,68.435,81.8,45.328,74.67,69.81,47.14,57.16,56.03
datetime,5/3/2023 14:00,4/19/2023 12:30,4/18/2023 21:30,4/18/2023 16:30,4/21/2023 9:30,4/19/2023 2:30,4/22/2023 5:30,4/22/2023 20:30,4/18/2023 21:30,4/17/2023 20:30,4/24/2023 12:00,4/22/2023 15:30,4/21/2023 19:30,4/13/2023 18:40,4/13/2023 18:40,4/13/2023 18:40,4/13/2023 18:40,4/17/2023 17:30,4/17/2023 17:30,5/4/2023 20:00,5/4/2023 23:00,5/3/2023 20:00,5/5/2023 17:00,5/5/2023 11:00,5/1/2023 20:00,5/4/2023 2:00,5/4/2023 11:00,5/5/2023 2:00,5/5/2023 8:00,5/4/2023 17:00,4/30/2023 13:00,5/1/2023 20:00,5/2/2023 10:00,5/2/2023 3:00,5/3/2023 20:00,5/5/2023 2:00,5/4/2023 23:00,5/4/2023 2:00,5/2/2023 17:00,4/30/2023 18:00,4/30/2023 23:00,5/1/2023 14:00,4/24/2023 17:00,4/20/2023 23:30,4/19/2023 22:30,4/30/2023 18:00,4/24/2023 22:00,4/20/2023 3:30,4/28/2023 16:00,4/18/2023 0:30,4/18/2023 4:30,4/18/2023 4:30,4/18/2023 0:30,4/17/2023 16:30,4/17/2023 20:30,4/17/2023 16:30,4/24/2023 2:00,4/19/2023 7:30,4/19/2023 2:30,4/18/2023 16:30
volconc (uL/L),39.62,56.59,45.42,78.71,36.31,74.76,51.68,63.53,53.79,79.55,46.75,57.56,67.12,106.31,115.21,118.68,73.11,110.62,109.99,25.17,22.78,87.1,30.81,25.61,64.14,26.28,35.26,99.55,40.12,72.78,43.66,44.99,31.62,35.73,68.76,77.49,33.08,50.92,25.42,63.56,85.89,50.13,27.12,24.91,22.36,85.5,14.59,30.84,74.69,73.67,48.9,48.47,59.16,116.8,51.23,106.21,66.59,40.96,47.58,93.48
0.37,0.000479556,0.000295989,0.000264201,0.00044467,0.000302947,0.00024077,0.000135449,0.000236109,0.000390407,0.000276556,0.000213904,0.000243224,0.000238379,0.000253974,0.000329832,0.000286485,0.000355629,0.000289279,0.00020911,0.000675407,0.000746269,0.000585534,0.00064914,0.000624756,0.000249454,0.000799087,0.000340329,0.000140633,0.000274177,0.000261061,0.000137426,0.000222272,0.000347881,0.000195914,0.000363583,0.000361337,0,0.000235664,0.000275374,0.000424795,0.00029107,0.00031917,0.000589971,0.000521879,0.000581395,0.000549708,0.001028101,0.00042153,0.000107109,8.14E-05,0.000184049,0.000185682,0.00015213,0.000222603,0.000195198,0.000244798,6.01E-05,0.000244141,0.00023119,0.000310227
0.44,0.000530035,0.000309242,0.000286218,0.00047008,0.000302947,0.000254147,0.000154799,0.000236109,0.000408998,0.000289126,0.000256684,0.000243224,0.000253278,0.000263381,0.000338512,0.000294911,0.000369307,0.000298319,0.000218202,0.000715137,0.000746269,0.000619977,0.000681597,0.00070285,0.000296227,0.00087519,0.00036869,0.000160723,0.000324028,0.000288541,0.00016033,0.000266726,0.000411132,0.000223901,0.00039267,0.000387147,0,0.000255302,0.000314713,0.000456262,0.000314356,0.000359066,0.000663717,0.000562023,0.000626118,0.000608187,0.001165182,0.000453956,0.000107109,9.50E-05,0.000204499,0.000206313,0.000185936,0.000239726,0.000214718,0.000263629,7.51E-05,0.000244141,0.000252207,0.000342319
0.52,0.000580515,0.000318077,0.000308234,0.000508195,0.000330487,0.000267523,0.000174149,0.00026759,0.000427589,0.000314268,0.000299465,0.000260598,0.000283075,0.000263381,0.000355872,0.000303337,0.000410341,0.000316398,0.000236385,0.000834327,0.000834065,0.000677382,0.000746511,0.000780945,0.000343,0.001065449,0.000453772,0.000200904,0.000398804,0.000329761,0.000229043,0.000333407,0.000506009,0.000307865,0.000450844,0.000425861,0,0.000314218,0.000354052,0.000503461,0.000360927,0.000418911,0.000737463,0.000642312,0.000670841,0.000701754,0.001370802,0.000486381,0.000133887,0.000108592,0.000224949,0.000226945,0.000219743,0.000273973,0.000253758,0.000282459,0.000105121,0.000268555,0.000273224,0.000374412
