lab_ID,VC-BER-20,VC-BER-21,VC-BER-31,VC-BER-22,VC-BER-23,VC-BER-24,VC-BER-25,VC-BER-26,VC-BER-28,VC-BER-29,VC-BER-27,VC-BER-30
sample,DST1D01,DST1D02,DST1D05,DST1D06,DST1D10,DST1D18,UST1U01,UST1U03,UST1U08,UST1U11,UST1U15,UST1U24
sediment (mg),,,,,,,,,,,,
SSC (mg/L),562.326,528.035,143.169,82.761,36.92,22.012,68.98,124.48,359.22,86.11,37.23,30.43
D50,20.286,24.423,22.67,35.16,46.527,32.353,55.816,33.373,26.528,37.351,43.453,68.922
datetime,7/23/2021 15:50,7/23/2021 16:09,7/23/2021 16:40,7/23/2021 16:55,7/23/2021 19:19,7/23/2021 21:02,7/23/2021 14:54,7/23/2021 15:02,7/23/2021 16:13,7/23/2021 16:58,7/23/2021 17:58,7/23/2021 20:13
volconc (uL/L),95.219,114.278,50.929,101.071,43.152,17.697,92.061,95.686,89.666,124.049,65.296,42.867
0.37,0.001501801,0.001872626,0.001983153,0.001424741,0.001575825,0.001412669,0.000695191,0.000951027,0.001494435,0.001910535,0.001347709,0.001189726
0.44,0.001680337,0.002021386,0.002140234,0.001484105,0.001506303,0.001469176,0.000684329,0.000992831,0.001617112,0.002007271,0.001363024,0.001049759
0.52,0.001953392,0.002240151,0.002375857,0.001573152,0.001413608,0.001525682,0.000673467,0.001055536,0.001817857,0.002160437,0.001378339,0.000886463
0.61,0.002362974,0.002572674,0.002709655,0.00169188,0.001274564,0.001582189,0.000651742,0.001149593,0.002107822,0.002378093,0.001408968,0.000699839
0.72,0.002888079,0.003010203,0.003141629,0.001830396,0.001158695,0.001695203,0.000662604,0.001264553,0.00249816,0.002652178,0.001454913,0.000559871
0.85,0.003434189,0.003535239,0.003632508,0.002028277,0.001181869,0.001864723,0.000727778,0.001452668,0.002955412,0.003006876,0.001562117,0.000559871
1.01,0.004074817,0.004322792,0.004280469,0.002424039,0.001483129,0.002316777,0.000934163,0.001828899,0.003602257,0.003619537,0.001883729,0.000723167
1.19,0.005566116,0.005950402,0.005713837,0.003324396,0.002224694,0.003333898,0.00137952,0.002654516,0.00499632,0.004957718,0.002649473,0.001119742
1.4,0.008569718,0.008750591,0.008207505,0.004818395,0.003337041,0.005029101,0.002009537,0.004044479,0.007483327,0.007190707,0.003874663,0.001562974
1.65,0.011132232,0.01095574,0.009994306,0.006005679,0.004426214,0.006385263,0.002606967,0.005309032,0.009501929,0.00890777,0.004946704,0.001982877
1.95,0.013337674,0.012697107,0.011290228,0.007103917,0.005839822,0.008023959,0.003313021,0.006584035,0.011197109,0.010302381,0.00603406,0.002612732
2.3,0.016036715,0.014429724,0.012841407,0.008330777,0.007531516,0.010114709,0.004192872,0.008109859,0.013070729,0.011705052,0.007305195,0.003452539
2.72,0.018399689,0.015689809,0.013783895,0.009290499,0.008875603,0.011301351,0.004942375,0.009447568,0.014542859,0.012736902,0.008285347,0.00412905
3.2,0.02050011,0.016783633,0.014942371,0.010359055,0.010613645,0.013335594,0.005865676,0.011130155,0.016037294,0.013736507,0.009495222,0.005132153
3.78,0.023104632,0.018192478,0.016159752,0.011526551,0.012212644,0.014861276,0.006832426,0.013209874,0.017922066,0.014953768,0.010705097,0.005925304
4.46,0.026580829,0.020231366,0.018083999,0.013178854,0.014483686,0.017460587,0.008255396,0.016324227,0.020632124,0.016711138,0.012466307,0.007138358
5.27,0.030445604,0.022550272,0.020479491,0.015068615,0.016662032,0.020116404,0.009906475,0.020076082,0.023699061,0.018629735,0.014457241,0.00849138
6.21,0.034152848,0.025149198,0.023562214,0.017195833,0.018423248,0.022602701,0.011644453,0.023775683,0.026721388,0.0205967,0.016540064,0.009797747
