Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L),LAB ID
4/17/2023 16:30,103.31,16.00,,,,,3.829,190
4/17/2023 20:30,65.48,0.50,,,,,3.473,191
4/18/2023 0:30,73.68,6.32,,,,,3.421,192
4/18/2023 4:30,48.9,,,,,,3.346,193
4/18/2023 8:30,0,10.00,,,,,3.271,211
4/18/2023 12:30,0,6.82,,,,,3.409,212
4/18/2023 16:30,93.48,21.50,,,,,4.663,213
4/18/2023 21:30,53.79,11.05,,,,,3.581,214
4/19/2023 2:30,47.58,18.00,,,,1.577,3.586,215
4/19/2023 7:30,30.72,6.50,,,,,3.401,216
4/19/2023 12:30,0,8.00,,,,,3.146,217
4/19/2023 17:30,0,12.00,,,,,3.994,218
4/19/2023 22:30,22.36,6.00,,,,,3.533,219
4/20/2023 3:30,30.83,8.89,,,,,3.434,220
4/20/2023 8:30,0,12.22,,,,,3.428,221
4/20/2023 18:30,0,6.88,,,,,3.481,236
4/20/2023 23:30,24.91,4.67,,,,,3.283,237
4/21/2023 9:30,0,5.33,,,,,3.084,238
4/21/2023 14:30,0,6.00,,,,,3.289,239
4/21/2023 19:30,67.13,17.86,,,,,3.864,240
4/22/2023 0:30,0,4.00,,,,,3.344,241
4/22/2023 5:30,51.68,6.67,,,,1.065,3.184,242
4/22/2023 10:30,0,5.52,,,,,3.246,243
4/22/2023 15:30,57.56,5.33,,,,,3.886,244
4/22/2023 20:30,63.54,8.00,,,,,3.471,245
4/23/2023 1:30,0,7.33,,,,,3.378,246
4/23/2023 11:30,0,,,,,,3.168,247
4/23/2023 16:00,0,11.25,,,,,3.797,248
4/23/2023 21:00,0,5.16,,,,,3.184,249
4/24/2023 2:00,66.59,8.67,,,,,3.399,250
4/24/2023 7:00,0,8.57,,,,,3.23,251
4/24/2023 12:00,46.75,,,,,1.263,3.664,252
4/24/2023 17:00,27.12,15.00,,,,1.627,4.541,253
4/24/2023 22:00,14.59,7.14,,,,1.637,3.458,269
4/25/2023 3:00,0,4.12,,,,,3.236,270
4/25/2023 13:00,0,7.14,,,,,3.283,271
4/25/2023 18:00,0,,,,,,3.128,272
4/26/2023 13:30,0,5.52,,,,,3.044,273
4/26/2023 19:00,0,11.33,,,,,3.027,274
4/27/2023 0:00,0,6.67,,,,,2.955,283
4/27/2023 5:00,0,5.29,,,,,2.523,284
4/27/2023 10:00,0,,,,,,2.681,285
4/27/2023 15:00,0,7.5,,,,,3.456,286
4/27/2023 20:00,0,,,,,,3.146,287
4/28/2023 1:00,0,8.125,,,,,3.026,288
4/28/2023 6:00,0,11.61,,,,,2.791,289
4/28/2023 11:00,0,8.12,,,,,2.697,290
4/28/2023 16:00,56.02,6.67,,,,,3.116,291
4/28/2023 21:00,0,3.75,,,,,2.977,302
4/29/2023 2:00,0,11.25,,,,,2.826,303
4/29/2023 12:00,0,4.67,,,,,2.944,304
4/29/2023 17:00,0,14.55,,,,,4.681,305
4/29/2023 22:00,0,9.29,,,,,3.395,306
4/30/2023 3:00,0,6.88,,,,,3.114,307
4/30/2023 8:00,0,2.50,,,,,2.943,308
4/30/2023 13:00,43.66,12.67,,,,,4.104,309
4/30/2023 18:00,85.5,45.00,,,,,4.979,310
4/30/2023 23:00,0,14.00,,,,,3.871,311
5/1/2023 4:00,0,10.00,,,,,3.474,312
5/1/2023 9:00,0,8.12,,,,,3.269,313
5/1/2023 14:00,0,13.53,,,,,4.688,314
5/1/2023 20:00,64.14,20.00,,,,,3.955,328
5/2/2023 3:00,0,10.00,,,,,3.223,329
5/2/2023 10:00,0,0.63,,,,,3.044,330
5/2/2023 17:00,0,4.38,,,,,3.478,331
5/3/2023 0:00,0,3.33,,,,,3.189,332
5/3/2023 7:00,0,5.00,,,,,2.729,333
5/3/2023 14:00,39.62,10.67,,,,,3.419,334
5/3/2023 20:00,87.1,24.37,,,,,4.004,335
5/3/2023 23:00,0,,,,,,,-
5/4/2023 2:00,26.28,,,,,,,-
5/4/2023 5:00,0,5.62,,,,,2.944,336
5/4/2023 8:00,0,,,,,,,-
5/4/2023 11:00,35.26,,,,,,,-
5/4/2023 14:00,0,1.29,,,,,3.504,337
5/4/2023 17:00,72.78,,,,,,,-
5/4/2023 20:00,25.16,0.71,,,,2.292,3.575,338
5/4/2023 23:00,15.19,5.71,,,,1.691,3.219,339
5/5/2023 2:00,99.54,,,,,,,-
5/5/2023 5:00,0,2.14,,,,,2.711,340
5/5/2023 8:00,40.12,,,,,,,-
5/5/2023 11:00,25.61,0.67,,,,1.356,2.717,341
5/5/2023 14:00,0,,,,,,,-
5/5/2023 17:00,30.82,,,,,1.71,3.833,342
