DateTime,Turbidity FNU,fDOM  QSU,fDOM RFU
7/11/2021 13:00,1.79,38.91,12.84
7/11/2021 13:15,2.26,38.51,12.71
7/11/2021 13:30,2.04,38.48,12.7
7/11/2021 13:45,1.83,38.52,12.71
7/11/2021 14:00,1.81,38.58,12.73
7/11/2021 14:15,2.46,38.5,12.7
7/11/2021 14:30,2.14,39.18,12.93
7/11/2021 14:45,1.94,39.56,13.05
7/11/2021 15:00,1.9,39.76,13.12
7/11/2021 15:15,1.67,39.91,13.17
7/11/2021 15:30,1.72,40.04,13.21
7/11/2021 15:45,1.61,40.07,13.22
7/11/2021 16:00,1.62,39.97,13.19
7/11/2021 16:15,1.59,39.87,13.15
7/11/2021 16:30,1.57,39.97,13.19
7/11/2021 16:45,1.63,39.98,13.19
7/11/2021 17:00,1.58,39.94,13.18
7/11/2021 17:15,1.57,39.84,13.14
7/11/2021 17:30,1.69,39.67,13.09
7/11/2021 17:45,1.66,39.5,13.03
7/11/2021 18:00,1.67,39.38,12.99
7/11/2021 18:15,1.68,39.25,12.95
7/11/2021 18:30,1.68,39.1,12.9
7/11/2021 18:45,1.69,39.02,12.88
7/11/2021 19:00,1.68,39,12.87
7/11/2021 19:15,1.64,39,12.87
7/11/2021 19:30,1.56,39.07,12.89
7/11/2021 19:45,1.77,39.11,12.91
7/11/2021 20:00,1.62,39.06,12.89
7/11/2021 20:15,1.6,38.91,12.84
7/11/2021 20:30,1.6,38.81,12.81
7/11/2021 20:45,1.65,38.63,12.75
7/11/2021 21:00,1.6,38.48,12.7
7/11/2021 21:15,1.53,38.36,12.66
7/11/2021 21:30,1.54,38.14,12.58
7/11/2021 21:45,1.56,37.99,12.53
7/11/2021 22:00,1.62,37.87,12.5
7/11/2021 22:15,1.47,37.76,12.46
7/11/2021 22:30,1.86,37.58,12.4
7/11/2021 22:45,1.86,37.45,12.36
7/11/2021 23:00,1.78,37.33,12.32
7/11/2021 23:15,1.79,37.18,12.27
7/11/2021 23:30,1.76,37.06,12.23
7/11/2021 23:45,1.87,36.97,12.2
7/12/2021 0:00,1.9,36.83,12.15
7/12/2021 0:15,1.84,36.76,12.13
7/12/2021 0:30,1.72,36.68,12.1
7/12/2021 0:45,1.89,36.57,12.07
7/12/2021 1:00,1.9,36.46,12.03
7/12/2021 1:15,1.82,36.42,12.02
7/12/2021 1:30,1.81,36.38,12
7/12/2021 1:45,1.76,36.29,11.98
7/12/2021 2:00,1.74,36.21,11.95
7/12/2021 2:15,1.81,36.12,11.92
7/12/2021 2:30,1.69,35.99,11.88
7/12/2021 2:45,1.76,35.97,11.87
7/12/2021 3:00,1.77,35.89,11.84
7/12/2021 3:15,1.69,35.78,11.81
7/12/2021 3:30,1.75,35.72,11.79
7/12/2021 3:45,1.77,35.71,11.78
7/12/2021 4:00,1.56,35.51,11.72
7/12/2021 4:15,1.57,35.51,11.72
7/12/2021 4:30,1.44,35.46,11.7
7/12/2021 4:45,1.46,35.43,11.69
7/12/2021 5:00,1.52,35.33,11.66
7/12/2021 5:15,1.54,35.25,11.63
7/12/2021 5:30,1.51,35.22,11.63
7/12/2021 5:45,1.45,35.15,11.6
7/12/2021 6:00,1.52,35.03,11.56
7/12/2021 6:15,1.57,34.99,11.55
7/12/2021 6:30,1.49,35.03,11.56
7/12/2021 6:45,1.48,35.02,11.56
7/12/2021 7:00,1.5,35.01,11.55
7/12/2021 7:15,1.47,35.08,11.58
7/12/2021 7:30,1.5,35.06,11.57
7/12/2021 7:45,1.5,34.97,11.54
7/12/2021 8:00,1.58,35.01,11.55
