DateTime,Turbidity FNU,fDOM RFU
7/11/2021 13:00,2.03,12.75
7/11/2021 13:15,1.98,12.74
7/11/2021 13:30,1.946,12.738
7/11/2021 13:45,2.08,12.71
7/11/2021 14:00,2.056,12.754
7/11/2021 14:15,2.036,12.824
7/11/2021 14:30,2.05,12.906
7/11/2021 14:45,2.022,12.994
7/11/2021 15:00,1.874,13.096
7/11/2021 15:15,1.768,13.154
7/11/2021 15:30,1.704,13.182
7/11/2021 15:45,1.642,13.188
7/11/2021 16:00,1.622,13.192
7/11/2021 16:15,1.604,13.188
7/11/2021 16:30,1.598,13.18
7/11/2021 16:45,1.588,13.17
7/11/2021 17:00,1.608,13.158
7/11/2021 17:15,1.626,13.126
7/11/2021 17:30,1.634,13.086
7/11/2021 17:45,1.654,13.04
7/11/2021 18:00,1.676,12.992
7/11/2021 18:15,1.676,12.95
7/11/2021 18:30,1.68,12.918
7/11/2021 18:45,1.674,12.894
7/11/2021 19:00,1.65,12.882
7/11/2021 19:15,1.668,12.884
7/11/2021 19:30,1.654,12.886
7/11/2021 19:45,1.638,12.88
7/11/2021 20:00,1.63,12.868
7/11/2021 20:15,1.648,12.84
7/11/2021 20:30,1.614,12.798
7/11/2021 20:45,1.596,12.752
7/11/2021 21:00,1.584,12.7
7/11/2021 21:15,1.576,12.644
7/11/2021 21:30,1.57,12.594
7/11/2021 21:45,1.544,12.546
7/11/2021 22:00,1.61,12.494
7/11/2021 22:15,1.674,12.45
7/11/2021 22:30,1.718,12.408
7/11/2021 22:45,1.752,12.362
7/11/2021 23:00,1.81,12.316
7/11/2021 23:15,1.812,12.276
7/11/2021 23:30,1.82,12.234
7/11/2021 23:45,1.832,12.196
7/12/2021 0:00,1.818,12.162
7/12/2021 0:15,1.844,12.13
7/12/2021 0:30,1.85,12.096
7/12/2021 0:45,1.834,12.07
7/12/2021 1:00,1.828,12.044
7/12/2021 1:15,1.836,12.02
7/12/2021 1:30,1.806,11.996
7/12/2021 1:45,1.788,11.974
7/12/2021 2:00,1.762,11.946
7/12/2021 2:15,1.752,11.92
7/12/2021 2:30,1.754,11.892
7/12/2021 2:45,1.744,11.864
7/12/2021 3:00,1.732,11.838
7/12/2021 3:15,1.748,11.818
7/12/2021 3:30,1.708,11.788
7/12/2021 3:45,1.668,11.764
7/12/2021 4:00,1.618,11.742
7/12/2021 4:15,1.56,11.722
7/12/2021 4:30,1.51,11.698
7/12/2021 4:45,1.506,11.68
7/12/2021 5:00,1.494,11.662
7/12/2021 5:15,1.496,11.642
7/12/2021 5:30,1.508,11.616
7/12/2021 5:45,1.518,11.594
7/12/2021 6:00,1.508,11.58
7/12/2021 6:15,1.502,11.566
7/12/2021 6:30,1.512,11.556
7/12/2021 6:45,1.502,11.56
7/12/2021 7:00,1.488,11.564
7/12/2021 7:15,1.49,11.56
7/12/2021 7:30,1.51,11.558
7/12/2021 7:45,1.51,11.55
7/12/2021 8:00,1.5,11.534
7/12/2021 8:15,1.5,11.516
7/12/2021 8:30,1.492,11.494
7/12/2021 8:45,1.46,11.468
7/12/2021 9:00,1.45,11.436
7/12/2021 9:15,1.448,11.4
7/12/2021 9:30,1.428,11.356
7/12/2021 9:45,1.408,11.314
7/12/2021 10:00,1.41,11.266
7/12/2021 10:15,1.394,11.224
7/12/2021 10:30,1.384,11.174
7/12/2021 10:45,1.384,11.13
7/12/2021 11:00,1.384,11.08
7/12/2021 11:15,1.384,11.026
7/12/2021 11:30,1.36,10.968
7/12/2021 11:45,1.344,10.922
7/12/2021 12:00,1.326,10.872
7/12/2021 12:15,1.34,10.826
7/12/2021 12:30,1.342,10.788
7/12/2021 12:45,1.39,10.762
7/12/2021 13:00,1.456,10.734
7/12/2021 13:15,1.494,10.72
7/12/2021 13:30,1.536,10.72
7/12/2021 13:45,1.538,10.732
7/12/2021 14:00,1.534,10.748
7/12/2021 14:15,1.598,10.768
7/12/2021 14:30,1.616,10.802
7/12/2021 14:45,1.608,10.838
7/12/2021 15:00,1.724,10.872
7/12/2021 15:15,1.746,10.936
7/12/2021 15:30,1.682,10.998
7/12/2021 15:45,1.682,11.04
7/12/2021 16:00,1.744,11.07
7/12/2021 16:15,1.648,11.092
7/12/2021 16:30,1.624,11.07
7/12/2021 16:45,1.588,11.042
7/12/2021 17:00,1.578,11.014
7/12/2021 17:15,1.52,10.994
7/12/2021 17:30,1.51,10.968
7/12/2021 17:45,2.1,10.948
7/12/2021 18:00,2.134,10.928
7/12/2021 18:15,2.14,10.904
7/12/2021 18:30,3.352,10.794
7/12/2021 18:45,4.558,10.692
7/12/2021 19:00,5.236,10.592
7/12/2021 19:00,6.554,10.494
7/12/2021 19:00,7.998,10.392
7/12/2021 19:00,8.152,10.368
7/12/2021 19:00,8.304,10.34
7/12/2021 19:00,8.258,10.318
7/12/2021 19:00,8.044,10.31
7/12/2021 19:00,7.634,10.32
7/12/2021 19:00,6.302,10.418
7/12/2021 19:00,4.988,10.516
7/12/2021 19:15,3.792,10.616
7/12/2021 19:30,2.666,10.72
7/12/2021 19:45,1.612,10.828
7/12/2021 20:00,1.582,10.88
7/12/2021 20:15,1.538,10.956
7/12/2021 20:30,1.518,11.032
7/12/2021 20:45,1.504,11.1
7/12/2021 21:00,1.496,11.15
7/12/2021 21:15,1.46,11.168
7/12/2021 21:30,1.436,11.164
7/12/2021 21:45,1.424,11.146
7/12/2021 22:00,1.418,11.118
7/12/2021 22:15,1.416,11.094
7/12/2021 22:30,1.394,11.074
7/12/2021 22:45,1.394,11.048
7/12/2021 23:00,1.394,11.026
7/12/2021 23:15,1.39,11.008
7/12/2021 23:30,1.384,10.984
7/12/2021 23:45,1.39,10.958
7/13/2021 0:00,1.402,10.938
7/13/2021 0:15,1.376,10.918
7/13/2021 0:30,1.382,10.896
7/13/2021 0:45,1.364,10.876
7/13/2021 1:00,1.346,10.862
7/13/2021 1:15,1.31,10.844
7/13/2021 1:30,1.318,10.828
7/13/2021 1:45,1.312,10.812
7/13/2021 2:00,1.306,10.8
7/13/2021 2:15,1.302,10.784
7/13/2021 2:30,1.298,10.774
7/13/2021 2:45,1.308,10.762
7/13/2021 3:00,1.292,10.752
7/13/2021 3:15,1.296,10.74
7/13/2021 3:30,1.306,10.73
7/13/2021 3:45,1.32,10.718
7/13/2021 4:00,1.282,10.708
7/13/2021 4:15,1.264,10.7
7/13/2021 4:30,1.274,10.688
7/13/2021 4:45,1.264,10.676
7/13/2021 5:00,1.268,10.658
7/13/2021 5:15,1.28,10.644
7/13/2021 5:30,1.308,10.624
7/13/2021 5:45,1.314,10.614
7/13/2021 6:00,1.288,10.606
7/13/2021 6:15,1.284,10.608
7/13/2021 6:30,1.276,10.61
7/13/2021 6:45,1.244,10.62
7/13/2021 7:00,1.222,10.626
7/13/2021 7:15,1.248,10.634
7/13/2021 7:30,1.252,10.634
7/13/2021 7:45,1.26,10.63
7/13/2021 8:00,1.274,10.62
7/13/2021 8:15,1.26,10.608
7/13/2021 8:30,1.256,10.584
7/13/2021 8:45,1.24,10.558
7/13/2021 9:00,1.256,10.526
7/13/2021 9:15,1.242,10.488
7/13/2021 9:30,1.264,10.442
7/13/2021 9:45,1.272,10.394
7/13/2021 10:00,1.282,10.338
7/13/2021 10:15,1.272,10.278
7/13/2021 10:30,1.284,10.216
7/13/2021 10:45,1.272,10.16
7/13/2021 11:00,1.274,10.098
7/13/2021 11:15,1.278,10.05
7/13/2021 11:30,1.288,10.006
7/13/2021 11:45,1.308,9.976
7/13/2021 12:00,1.328,9.944
7/13/2021 12:15,1.322,9.934
7/13/2021 12:30,1.336,9.932
7/13/2021 12:45,1.34,9.944
7/13/2021 13:00,1.34,9.962
7/13/2021 13:15,1.332,9.996
7/13/2021 13:30,1.356,10.032
7/13/2021 13:45,1.352,10.072
7/13/2021 14:00,1.342,10.108
7/13/2021 14:15,1.344,10.14
7/13/2021 14:30,1.356,10.168
7/13/2021 14:45,1.32,10.188
7/13/2021 15:00,1.318,10.198
7/13/2021 15:15,1.316,10.204
7/13/2021 15:30,1.294,10.204
7/13/2021 15:45,1.292,10.192
7/13/2021 16:00,1.32,10.176
7/13/2021 16:15,1.296,10.158
7/13/2021 16:30,1.3,10.138
7/13/2021 16:45,1.314,10.112
7/13/2021 17:00,1.298,10.086
7/13/2021 17:15,1.28,10.058
7/13/2021 17:30,1.3,10.028
7/13/2021 17:45,1.296,9.998
7/13/2021 18:00,1.29,9.974
7/13/2021 18:15,1.314,9.952
7/13/2021 18:30,1.338,9.93
7/13/2021 18:45,1.316,9.906
7/13/2021 19:00,1.3,9.878
7/13/2021 19:15,1.29,9.852
7/13/2021 19:30,1.266,9.822
7/13/2021 19:45,1.242,9.798
7/13/2021 20:00,1.226,9.772
7/13/2021 20:15,1.254,9.752
7/13/2021 20:30,1.262,9.728
7/13/2021 20:45,1.248,9.714
7/13/2021 21:00,1.232,9.698
7/13/2021 21:15,1.254,9.694
7/13/2021 21:30,1.21,9.692
7/13/2021 21:45,1.206,9.694
7/13/2021 22:00,1.206,9.698
7/13/2021 22:15,1.226,9.704
7/13/2021 22:30,1.23,9.708
7/13/2021 22:45,1.264,9.71
7/13/2021 23:00,1.27,9.712
7/13/2021 23:15,1.3,9.706
7/13/2021 23:30,1.28,9.7
7/13/2021 23:45,1.276,9.69
7/14/2021 0:00,1.27,9.682
7/14/2021 0:15,1.24,9.674
7/14/2021 0:30,1.228,9.672
7/14/2021 0:45,1.232,9.668
7/14/2021 1:00,1.222,9.668
7/14/2021 1:15,1.234,9.664
7/14/2021 1:30,1.252,9.658
7/14/2021 1:45,1.232,9.656
7/14/2021 2:00,1.232,9.654
7/14/2021 2:15,1.234,9.65
7/14/2021 2:30,1.194,9.65
7/14/2021 2:45,1.182,9.648
7/14/2021 3:00,1.164,9.638
7/14/2021 3:15,1.17,9.634
7/14/2021 3:30,1.158,9.63
7/14/2021 3:45,1.152,9.622
7/14/2021 4:00,1.15,9.62
7/14/2021 4:15,1.158,9.618
7/14/2021 4:30,1.148,9.612
7/14/2021 4:45,1.124,9.604
7/14/2021 5:00,1.13,9.598
7/14/2021 5:15,1.136,9.586
7/14/2021 5:30,1.148,9.578
7/14/2021 5:45,1.152,9.57
7/14/2021 6:00,1.204,9.568
7/14/2021 6:15,1.206,9.572
7/14/2021 6:30,1.2,9.58
7/14/2021 6:45,1.18,9.59
7/14/2021 7:00,1.164,9.606
7/14/2021 7:15,1.136,9.616
7/14/2021 7:30,1.134,9.622
7/14/2021 7:45,1.128,9.626
7/14/2021 8:00,1.152,9.63
7/14/2021 8:15,1.152,9.624
7/14/2021 8:30,1.128,9.616
7/14/2021 8:45,1.134,9.606
7/14/2021 9:00,1.142,9.59
7/14/2021 9:15,1.13,9.564
7/14/2021 9:30,1.126,9.534
7/14/2021 9:45,1.152,9.496
7/14/2021 10:00,1.148,9.452
7/14/2021 10:15,1.148,9.404
7/14/2021 10:30,1.168,9.354
7/14/2021 10:45,1.19,9.304
7/14/2021 11:00,1.194,9.258
7/14/2021 11:15,1.222,9.216
7/14/2021 11:30,1.222,9.186
7/14/2021 11:45,1.212,9.17
7/14/2021 12:00,1.204,9.18
7/14/2021 12:15,1.194,9.21
7/14/2021 12:30,1.174,9.236
7/14/2021 12:45,1.182,9.266
7/14/2021 13:00,1.184,9.302
