Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID
8/28/2023 12:00,0,,,,
8/28/2023 12:20,232.052,3.104,12.67,1.193,476
8/28/2023 12:35,143.896,3.305,6.271,0.464,477
8/28/2023 12:50,104.006,3.336,5.673,0.694,478
8/28/2023 13:05,88.144,3.199,4.649,0.622,479
8/28/2023 13:20,92.256,3.226,5.424,0.63,480
8/28/2023 13:35,87.688,,,,-
8/28/2023 13:50,95.622,,,,-
8/28/2023 14:05,82.494,3.206,4.496,0.619,481
8/28/2023 14:20,77.09,,,,-
8/28/2023 14:35,69.395,3.262,,,482
8/28/2023 14:50,65.814,,,,-
8/28/2023 15:05,79.97,,,,-
8/28/2023 15:20,0,4.278,,,483
