Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L),LAB ID
7/29/2023 14:00,0,13.33333333,,,0,0.087679832,2.8035,
7/29/2023 15:16,327.453,100,,,0.0104,13.905,8.576,446
7/29/2023 15:31,241.809,105.5555556,,,0.07,11.146,4.031,447
7/29/2023 15:46,158.525,50,,,0.0716,7.452,4.186,448
7/29/2023 16:01,132.472,68.88888889,,,0.0472,7.501,4.351,449
7/29/2023 16:16,98.91,51.11111111,,,0.0605,,4.311,450
7/29/2023 16:31,90.357,45.26315789,,,0.0662,5.92,4.472,451
7/29/2023 16:46,84.562,20,,,,,4.663,452
7/29/2023 17:16,59.01,15.45454545,,,0.0183,2.948,4.974,453
7/29/2023 17:46,42.72,26,,,0.0193,,4.939,454
7/29/2023 18:31,98.146,21,,,,4.275,5.252,455
