storm_name,HI,tau_mid,c_rise,c_fall,rise,fall,tau_col,constituent_col,k,t_rise_mid,t_fall_mid,rise_bracket,fall_bracket,peak_label,experiment,constituent
Experiment1,0.7180322701405533,0.5,0.9315543632966835,0.2626682690594281,"                     Depth  SSC (mg/L)
Date_Time                             
2022-08-02 11:57:09    0.0    1.000000
2022-08-02 11:57:21    1.0    0.863109","                        Depth  SSC (mg/L)
Date_Time                                
2022-08-02 11:57:21  1.000000    0.863109
2022-08-02 11:57:32  0.740260    0.433464
2022-08-02 11:57:42  0.506494    0.257905
2022-08-02 11:57:53  0.342041    0.378548
2022-08-02 11:58:04  0.259740    0.340796
2022-08-02 11:58:14  0.212171    0.213125
2022-08-02 11:58:25  0.199184    0.229128
2022-08-02 11:58:34  0.199184    0.191680
2022-08-02 11:58:44  0.186197    0.097400
2022-08-02 11:58:54  0.199184    0.087802
2022-08-02 11:59:04  0.177514    0.037167
2022-08-02 11:59:13  0.164527    0.025817
2022-08-02 11:59:24  0.177514    0.000000",Depth,SSC (mg/L),0.5,1970-01-20 04:57:21.435000000,1970-01-20 04:57:21.462434341,"{'t0': Timestamp('1970-01-20 04:57:21.429000'), 't1': Timestamp('1970-01-20 04:57:21.441000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(1.0), 'c1': np.float64(0.863108726593367), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:57:21.462000'), 't1': Timestamp('1970-01-20 04:57:21.473000'), 'tau0': np.float64(0.5064935064935066), 'tau1': np.float64(0.3420408163265306), 'c0': np.float64(0.25790460527709025), 'c1': np.float64(0.37854783629998795), 'extrapolated': False}",2022-08-02 11:57:21,Experiment1,SSC (mg/L)
Experiment1,0.29004509914582055,0.5,0.6995305164319248,0.4966351184379001,"                     Depth  DOC (mg/L)
Date_Time                             
2022-08-02 11:57:09    0.0    1.000000
2022-08-02 11:57:21    1.0    0.399061","                        Depth  DOC (mg/L)
Date_Time                                
2022-08-02 11:57:21  1.000000    0.399061
2022-08-02 11:57:32  0.740260    0.164319
2022-08-02 11:57:42  0.506494    0.490610
2022-08-02 11:57:53  0.342041    0.643192
2022-08-02 11:58:04  0.259740    0.607981
2022-08-02 11:58:14  0.212171    0.234742
2022-08-02 11:58:25  0.199184    0.441315
2022-08-02 11:58:34  0.199184    0.150235
2022-08-02 11:58:44  0.186197    0.138498
2022-08-02 11:58:54  0.199184    0.204225
2022-08-02 11:59:04  0.177514    0.232394
2022-08-02 11:59:13  0.164527    0.220657
2022-08-02 11:59:24  0.177514    0.000000",Depth,DOC (mg/L),0.5,1970-01-20 04:57:21.435000000,1970-01-20 04:57:21.462434341,"{'t0': Timestamp('1970-01-20 04:57:21.429000'), 't1': Timestamp('1970-01-20 04:57:21.441000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(1.0), 'c1': np.float64(0.3990610328638495), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:57:21.462000'), 't1': Timestamp('1970-01-20 04:57:21.473000'), 'tau0': np.float64(0.5064935064935066), 'tau1': np.float64(0.3420408163265306), 'c0': np.float64(0.49061032863849763), 'c1': np.float64(0.6431924882629106), 'extrapolated': False}",2022-08-02 11:57:21,Experiment1,DOC (mg/L)
Experiment1,0.7764260678599684,0.5,0.9254049978256899,0.20689643418592688,"                     Depth  POC (mg/L)
Date_Time                             
2022-08-02 11:57:09    0.0     0.85081
2022-08-02 11:57:21    1.0     1.00000","                        Depth  POC (mg/L)
Date_Time                                
2022-08-02 11:57:21  1.000000    1.000000
2022-08-02 11:57:42  0.506494    0.189853
2022-08-02 11:57:53  0.342041    0.621501
2022-08-02 11:59:04  0.177514    0.000000",Depth,POC (mg/L),0.5,1970-01-20 04:57:21.435000000,1970-01-20 04:57:21.462434341,"{'t0': Timestamp('1970-01-20 04:57:21.429000'), 't1': Timestamp('1970-01-20 04:57:21.441000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(0.8508099956513797), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:57:21.462000'), 't1': Timestamp('1970-01-20 04:57:21.473000'), 'tau0': np.float64(0.5064935064935066), 'tau1': np.float64(0.3420408163265306), 'c0': np.float64(0.1898525801803848), 'c1': np.float64(0.621500511324262), 'extrapolated': False}",2022-08-02 11:57:21,Experiment1,POC (mg/L)
Experiment2,0.24125163857843968,0.5,0.6850652910658155,0.5197921670629718,"                        Depth  SSC (mg/L)
Date_Time                                
2022-08-02 01:53:39  0.000000    0.104825
2022-08-02 01:53:50  0.024454    0.385533
2022-08-02 01:54:00  1.000000    1.000000","                        Depth  SSC (mg/L)
Date_Time                                
2022-08-02 01:54:00  1.000000    1.000000
2022-08-02 01:54:10  0.691176    0.532430
2022-08-02 01:54:20  0.495042    0.519464
2022-08-02 01:54:30  0.372521    0.390184
2022-08-02 01:54:40  0.289160    0.353520
2022-08-02 01:54:50  0.303866    0.199737
2022-08-02 01:55:00  0.225462    0.276948
2022-08-02 01:55:10  0.171513    0.154033
2022-08-02 01:55:20  0.171513    0.137952
2022-08-02 01:55:30  0.156807    0.064801
2022-08-02 01:55:40  0.102941    0.076306
2022-08-02 01:55:50  0.132353    0.000000
2022-08-02 01:56:00  0.132353    0.031415
2022-08-02 01:56:10  0.117647    0.032312",Depth,SSC (mg/L),0.5,1970-01-20 04:56:45.234874666,1970-01-20 04:56:45.259747215,"{'t0': Timestamp('1970-01-20 04:56:45.230000'), 't1': Timestamp('1970-01-20 04:56:45.240000'), 'tau0': np.float64(0.024453781512604925), 'tau1': np.float64(1.0), 'c0': np.float64(0.3855332961048302), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:45.250000'), 't1': Timestamp('1970-01-20 04:56:45.260000'), 'tau0': np.float64(0.6911764705882353), 'tau1': np.float64(0.49504201680672266), 'c0': np.float64(0.5324303279608917), 'c1': np.float64(0.519464408056673), 'extrapolated': False}",2022-08-02 01:54:00,Experiment2,SSC (mg/L)
Experiment2,-0.8802082566295846,0.5,0.05335964164383538,0.4454367232876707,"                        Depth  DOC (mg/L)
Date_Time                                
2022-08-02 01:53:39  0.000000     0.20274
2022-08-02 01:53:50  0.024454     0.10411
2022-08-02 01:54:00  1.000000     0.00000","                        Depth  DOC (mg/L)
Date_Time                                
2022-08-02 01:54:00  1.000000    0.000000
2022-08-02 01:54:10  0.691176    0.295890
2022-08-02 01:54:20  0.495042    0.449315
2022-08-02 01:54:30  0.372521    1.000000
2022-08-02 01:54:40  0.289160    0.383562
2022-08-02 01:54:50  0.303866    0.306849
2022-08-02 01:55:00  0.225462    0.438356
2022-08-02 01:55:10  0.171513    0.438356
2022-08-02 01:55:20  0.171513    0.602740
2022-08-02 01:55:30  0.156807    0.317808
2022-08-02 01:55:40  0.102941    0.342466
2022-08-02 01:55:50  0.132353    0.265753
2022-08-02 01:56:00  0.132353    0.295890
2022-08-02 01:56:10  0.117647    0.260274",Depth,DOC (mg/L),0.5,1970-01-20 04:56:45.234874666,1970-01-20 04:56:45.259747215,"{'t0': Timestamp('1970-01-20 04:56:45.230000'), 't1': Timestamp('1970-01-20 04:56:45.240000'), 'tau0': np.float64(0.024453781512604925), 'tau1': np.float64(1.0), 'c0': np.float64(0.10410958904109543), 'c1': np.float64(0.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:45.250000'), 't1': Timestamp('1970-01-20 04:56:45.260000'), 'tau0': np.float64(0.6911764705882353), 'tau1': np.float64(0.49504201680672266), 'c0': np.float64(0.29589041095890334), 'c1': np.float64(0.44931506849315017), 'extrapolated': False}",2022-08-02 01:54:00,Experiment2,DOC (mg/L)
Experiment2,0.18229454485882557,0.5,0.7026258176670751,0.5745409640293955,"                        Depth  POC (mg/L)
Date_Time                                
2022-08-02 01:53:39  0.000000    0.060028
2022-08-02 01:53:50  0.024454    0.419796
2022-08-02 01:54:00  1.000000    1.000000","                        Depth  POC (mg/L)
Date_Time                                
2022-08-02 01:54:00  1.000000    1.000000
2022-08-02 01:54:20  0.495042    0.570322
2022-08-02 01:54:50  0.303866    0.246511
2022-08-02 01:55:00  0.225462    0.104100
2022-08-02 01:55:30  0.156807    0.000000",Depth,POC (mg/L),0.5,1970-01-20 04:56:45.234874666,1970-01-20 04:56:45.259803628,"{'t0': Timestamp('1970-01-20 04:56:45.230000'), 't1': Timestamp('1970-01-20 04:56:45.240000'), 'tau0': np.float64(0.024453781512604925), 'tau1': np.float64(1.0), 'c0': np.float64(0.41979550536038257), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:45.240000'), 't1': Timestamp('1970-01-20 04:56:45.260000'), 'tau0': np.float64(1.0), 'tau1': np.float64(0.49504201680672266), 'c0': np.float64(1.0), 'c1': np.float64(0.5703221288840564), 'extrapolated': False}",2022-08-02 01:54:00,Experiment2,POC (mg/L)
Experiment3,0.39340714771465135,0.5,0.6097129140232307,0.369847495592563,"                     Depth  SSC (mg/L)
Date_Time                             
2022-08-02 02:30:50    0.0    0.219426
2022-08-02 02:31:00    1.0    1.000000","                        Depth  SSC (mg/L)
Date_Time                                
2022-08-02 02:31:00  1.000000    1.000000
2022-08-02 02:31:10  0.644737    0.385140
2022-08-02 02:31:20  0.438571    0.363357
2022-08-02 02:31:30  0.346466    0.224556
2022-08-02 02:31:40  0.320150    0.143055
2022-08-02 02:31:50  0.250000    0.163539
2022-08-02 02:32:00  0.368421    0.379768
2022-08-02 02:32:10  0.333308    0.260369
2022-08-02 02:32:20  0.285038    0.038849
2022-08-02 02:32:30  0.271880    0.054102
2022-08-02 02:32:40  0.223684    0.000000
2022-08-02 02:32:50  0.258722    0.007584",Depth,SSC (mg/L),0.5,1970-01-20 04:56:47.455000000,1970-01-20 04:56:47.477020423,"{'t0': Timestamp('1970-01-20 04:56:47.450000'), 't1': Timestamp('1970-01-20 04:56:47.460000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(0.21942582804646135), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:47.470000'), 't1': Timestamp('1970-01-20 04:56:47.480000'), 'tau0': np.float64(0.6447368421052633), 'tau1': np.float64(0.4385714285714286), 'c0': np.float64(0.3851404908656079), 'c1': np.float64(0.3633569099146525), 'extrapolated': False}",2022-08-02 02:31:00,Experiment3,SSC (mg/L)
Experiment3,0.47015675471698115,0.5,0.538071065989848,0.28509331979695446,"                     Depth  DOC (mg/L)
Date_Time                             
2022-08-02 02:30:50    0.0    1.000000
2022-08-02 02:31:00    1.0    0.076142","                        Depth  DOC (mg/L)
Date_Time                                
2022-08-02 02:31:00  1.000000    0.076142
2022-08-02 02:31:10  0.644737    0.000000
2022-08-02 02:31:20  0.438571    0.406091
2022-08-02 02:31:30  0.346466    0.659898
2022-08-02 02:31:40  0.320150    0.314721
2022-08-02 02:31:50  0.250000    0.573604
2022-08-02 02:32:00  0.368421    0.233503
2022-08-02 02:32:10  0.333308    0.203046
2022-08-02 02:32:20  0.285038    0.375635
2022-08-02 02:32:30  0.271880    0.162437
2022-08-02 02:32:40  0.223684    0.279188
2022-08-02 02:32:50  0.258722    0.426396",Depth,DOC (mg/L),0.5,1970-01-20 04:56:47.455000000,1970-01-20 04:56:47.477020423,"{'t0': Timestamp('1970-01-20 04:56:47.450000'), 't1': Timestamp('1970-01-20 04:56:47.460000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(1.0), 'c1': np.float64(0.07614213197969603), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:47.470000'), 't1': Timestamp('1970-01-20 04:56:47.480000'), 'tau0': np.float64(0.6447368421052633), 'tau1': np.float64(0.4385714285714286), 'c0': np.float64(0.0), 'c1': np.float64(0.40609137055837585), 'extrapolated': False}",2022-08-02 02:31:00,Experiment3,DOC (mg/L)
Experiment3,-0.24094726872235517,0.5,0.5871254288529771,0.7734975511710787,"                     Depth  POC (mg/L)
Date_Time                             
2022-08-02 02:30:50    0.0    0.174251
2022-08-02 02:31:00    1.0    1.000000","                        Depth  POC (mg/L)
Date_Time                                
2022-08-02 02:31:00  1.000000    1.000000
2022-08-02 02:31:20  0.438571    0.745670
2022-08-02 02:31:50  0.250000    0.174798
2022-08-02 02:32:40  0.223684    0.000000",Depth,POC (mg/L),0.5,1970-01-20 04:56:47.455000000,1970-01-20 04:56:47.477811704,"{'t0': Timestamp('1970-01-20 04:56:47.450000'), 't1': Timestamp('1970-01-20 04:56:47.460000'), 'tau0': np.float64(0.0), 'tau1': np.float64(1.0), 'c0': np.float64(0.17425085770595425), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:56:47.460000'), 't1': Timestamp('1970-01-20 04:56:47.480000'), 'tau0': np.float64(1.0), 'tau1': np.float64(0.4385714285714286), 'c0': np.float64(1.0), 'c1': np.float64(0.7456700955406385), 'extrapolated': False}",2022-08-02 02:31:00,Experiment3,POC (mg/L)
Experiment4,0.7916316260825386,0.5,0.9766959087334286,0.20351253831462182,"                        Depth  SSC (mg/L)
Date_Time                                
2022-08-03 10:33:16  0.000000    0.179117
2022-08-03 10:35:46  0.514609    1.000000
2022-08-03 10:35:51  0.594882    0.668363
2022-08-03 10:35:56  1.000000    0.337443","                        Depth  SSC (mg/L)
Date_Time                                
2022-08-03 10:35:56  1.000000    0.337443
2022-08-03 10:36:01  0.802916    0.333688
2022-08-03 10:36:07  0.664268    0.214084
2022-08-03 10:36:15  0.543828    0.216667
2022-08-03 10:36:25  0.405118    0.175034
2022-08-03 10:36:36  0.328474    0.116679
2022-08-03 10:36:47  0.317525    0.079198
2022-08-03 10:36:57  0.288306    0.039247
2022-08-03 10:37:07  0.277357    0.000000",Depth,SSC (mg/L),0.5,1970-01-20 04:58:42.941741641,1970-01-20 04:58:42.978159675,"{'t0': Timestamp('1970-01-20 04:58:42.796000'), 't1': Timestamp('1970-01-20 04:58:42.946000'), 'tau0': np.float64(0.0), 'tau1': np.float64(0.5146092723518738), 'c0': np.float64(0.17911719279992352), 'c1': np.float64(1.0), 'extrapolated': False}","{'t0': Timestamp('1970-01-20 04:58:42.975000'), 't1': Timestamp('1970-01-20 04:58:42.985000'), 'tau0': np.float64(0.5438278170556216), 'tau1': np.float64(0.40511793780892197), 'c0': np.float64(0.21666725650951352), 'c1': np.float64(0.17503411957330428), 'extrapolated': False}",2022-08-03 10:35:56,Experiment4,SSC (mg/L)
