Lab ID,Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L)
69,1:58:58,8.458,0,25.4202542,2.936,3.646939978
70,2:00:55,8.633,0,9.005321326,3.029,
71,2:00:58,8.808,0,7.486897929,2.923,2.38341665
72,2:01:01,9.042,0,4.954992155,2.976,
73,2:01:04,9.917,0,7.30045425,3.641,2.175663595
74,2:01:07,10.092,70.88,31.92472486,3.054,
75,2:01:10,10.442,73.46,41.42158893,3.038,
76,2:01:13,10.617,84.58,44.8906301,3.579,4.777753105
77,2:01:16,10.442,67.36,33.18400531,3.151,
78,2:01:19,10.092,65.8,25.36824877,3.006,4.932223506
79,2:01:22,9.917,65.32,6.545573556,3.551,
