event,SS,DOC,Turbidity,fDOM,tauc,ratio,time
st1,0.785,-0.69,0.57682,-0.62,,,
st2,0.174,0.02,0.13233,-0.54,60.59,1.17,0.25
st3,0.099,-0.54,0.08933,-0.51,73.39,1.02,-3.25
st4,0.212,-0.18,0.14884,-0.22,79.77,1.00,0
st5,0.365,0.39,0.16426,0.1,,,
st6,0.041,-0.17,-0.04454,-0.24,,,
event 1,0.095,0.03,0.05186,0.013,,,
event2,0.043,0.03,0.10337,-0.016,,,
event3,0.089,0.01,0.15622,0.03,110.72,1.04,-0.75
event4,-0.019,0.03,0.15072,-0.055,,,
event5,0.104,0.03,0.0554,0.009,111.66,1.03,-1
event6,0.047,0.04,0.06988,0.013,114.89,1.03,-1.25
event7,0.009,-0.01,0.07865,-0.061,116.56,1.03,-3.5
event8,-0.017,-0.02,0.12,-0.018,120.41,1.04,-0.75
event9,0.02,0.03,0.10124,0.003,118.76,1.08,-3.5
event10,-0.025,-0.04,0.1074,-0.005,125.12,1.02,-4.25
