event,start,peak_time,end,has_tauc_exceedance,first_exceedance_time,first_exceedance_tau,n_transport_events,n_exceedance_points,total_exceedance_hours,max_Dmax_mm,tauc50,first_motion_in_event,calculation_status,tau_peak,tau_peak_time_record,peak_mobility_ratio,max_excess_tau,tau_reached_tauc,peak_time_source,split_peak_time_used,first_motion_relative_to_peak_h,excess_integral_rise,excess_integral_fall,excess_integral_total,tau_above_tauc_h_rise,tau_above_tauc_h_fall,tau_above_tauc_h_total,mean_excess_tau,excess_fraction_rise,excess_fraction_fall,excess_balance,duration_fraction_rise,duration_fraction_fall,duration_balance,tau_record_coverage_fraction,n_skipped_tau_intervals,first_tau_ge_tauc_time_record,record_threshold_minus_observed_motion_min
0,4/17/2023 13:00,4/17/2023 22:18,4/18/2023 11:00,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
1,4/18/2023 11:00,4/18/2023 20:18,4/19/2023 10:00,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
2,4/19/2023 10:00,4/19/2023 18:03,4/20/2023 11:00,TRUE,4/19/2023 15:45,118.2273343,1,8,2,60.71043,118.2273343,TRUE,calculated,120.198911,4/19/2023 18:30,1.01667615,1.97157672,TRUE,event table,4/19/2023 18:03,-2.3,1.113194217,0.830031621,1.943225838,1.844769143,0.650677785,2.495446928,0.778708541,0.572858901,0.427141099,-0.145717801,0.739254008,0.260745992,-0.478508016,1,0,4/19/2023 16:00,15
3,4/21/2023 12:00,4/21/2023 18:33,4/22/2023 9:30,TRUE,4/21/2023 22:45,108.5111527,5,5,1.25,45.71622,108.5111527,TRUE,calculated,109.8933234,4/21/2023 18:30,1.012737591,1.38217068,TRUE,event table,4/21/2023 18:33,4.2,1.002906474,1.373971937,2.376878411,1.738190158,3.232351642,4.9705418,0.478193023,0.421942691,0.578057309,0.156114617,0.349698328,0.650301672,0.300603343,1,0,4/21/2023 15:15,-450
4,4/22/2023 14:00,4/22/2023 23:18,4/23/2023 10:30,TRUE,4/22/2023 15:30,106.9706094,6,7,1.75,46.06356,106.9706094,TRUE,calculated,113.170237,4/22/2023 23:00,1.057956364,6.19962758,TRUE,event table,4/22/2023 23:18,-7.8,24.8606497,45.48927548,70.34992518,7.75,10.98805975,18.73805975,3.754386853,0.353385588,0.646614412,0.293228823,0.413596717,0.586403283,0.172806565,1,0,4/22/2023 15:45,15
5,4/23/2023 11:30,4/23/2023 20:18,4/24/2023 11:00,TRUE,4/23/2023 17:15,110.72,7,7,1.75,47.355,113.7204026,TRUE,calculated,115.4928221,4/23/2023 19:30,1.015585766,1.77241954,TRUE,event table,4/23/2023 20:18,-3.05,2.206587038,3.245807744,5.452394783,3.125875902,5.050272548,8.17614845,0.666865923,0.404700526,0.595299474,0.190598947,0.382316432,0.617683568,0.235367136,1,0,4/23/2023 16:30,-45
6,4/24/2023 11:00,4/24/2023 17:48,4/25/2023 11:00,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
7,4/27/2023 12:00,4/27/2023 20:48,4/28/2023 12:00,TRUE,4/27/2023 15:30,111.663,8,9,2.25,101.105,112.6631988,TRUE,calculated,116.1721658,4/27/2023 21:00,1.031145636,3.50896698,TRUE,event table,4/27/2023 20:48,-5.3,8.476338235,25.41961117,33.8959494,5.520957959,14.07388289,19.59484085,1.729840505,0.250069356,0.749930644,0.499861288,0.281755693,0.718244307,0.436488614,1,0,4/27/2023 15:00,-30
8,4/29/2023 12:00,4/29/2023 20:18,4/30/2023 12:00,TRUE,4/30/2023 8:15,114.891,5,5,1.25,44.466,114.8909762,TRUE,calculated,118.6696981,4/29/2023 18:45,1.032889632,3.77872192,TRUE,event table,4/29/2023 20:18,11.95,9.541282532,22.63614917,32.1774317,5.182113691,12.07312901,17.2552427,1.864791603,0.296520947,0.703479053,0.406958105,0.300321113,0.699678887,0.399357774,1,0,4/29/2023 15:00,-1035
9,4/30/2023 12:00,4/30/2023 19:48,5/1/2023 11:00,TRUE,4/30/2023 13:30,116.555,6,24,6,47.503,116.5553166,TRUE,calculated,120.3667507,4/30/2023 19:30,1.032700646,3.81143414,TRUE,event table,4/30/2023 19:48,-6.3,14.78193275,16.47137012,31.25330287,6.3491432,10.6752817,17.0244249,1.835791991,0.472971859,0.527028141,0.054056283,0.372943182,0.627056818,0.254113635,1,0,4/30/2023 13:15,-15
10,5/1/2023 11:00,5/1/2023 23:33,5/2/2023 13:00,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
11,5/2/2023 13:00,5/2/2023 19:33,5/3/2023 11:30,TRUE,5/2/2023 15:15,120.406,3,18,4.5,54.056,118.4060225,TRUE,calculated,126.6227141,5/2/2023 19:30,1.069394203,8.21669158,TRUE,event table,5/2/2023 19:33,-4.3,15.67154007,27.08316434,42.75470441,3.208450824,11.89850165,15.10695247,2.830134304,0.366545396,0.633454604,0.266909207,0.2123824,0.7876176,0.5752352,1,0,5/2/2023 15:15,0
12,5/3/2023 11:30,5/3/2023 19:18,5/4/2023 10:00,TRUE,5/3/2023 11:00,118.755,20,54,13.5,53.784,115.7551224,FALSE,calculated,130.3299902,5/3/2023 21:00,1.125911213,14.57486784,TRUE,event table,5/3/2023 19:18,-8.3,48.25168068,127.6108003,175.862481,7.257958794,14.7,21.95795879,8.009054147,0.274371659,0.725628341,0.451256682,0.330538866,0.669461134,0.338922268,1,0,5/3/2023 12:15,75
13,5/4/2023 11:00,5/4/2023 18:48,5/5/2023 9:00,TRUE,5/4/2023 9:00,125.122,11,29,7.25,53.784,121.1219717,FALSE,calculated,128.9432379,5/4/2023 18:30,1.064573472,7.82126622,TRUE,event table,5/4/2023 18:48,-9.8,12.83269398,39.8058718,52.63856578,4.217040615,12.42312537,16.64016598,3.163343794,0.243788823,0.756211177,0.512422355,0.253425394,0.746574606,0.493149213,1,0,5/4/2023 14:00,300
14,5/5/2023 10:00,5/5/2023 18:48,5/6/2023 9:00,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,first_motion_relative_to_peak_h,tau_above_tauc_h_total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-2.3,2.495446928,,-0.921678587,,,0.739254008,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4.2,4.9705418,,0.844978308,,,0.349698328,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-7.8,18.73805975,,-0.416265083,,,0.413596717,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-3.05,8.17614845,,-0.37303628,,6,0.382316432,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-5.3,19.59484085,,-0.270479359,,8,0.281755693,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-11.95,17.2552427,,-0.692543142,,9,0.300321113,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-6.3,17.0244249,,-0.370056553,,10,0.372943182,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-4.3,15.10695247,,-0.284637157,,12,0.2123824,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-8.3,21.95795879,,-0.377995062,,13,0.330538866,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-9.8,16.64016598,,-0.588936433,,14,0.253425394,,,,,,,,,,,
