storm,start,end,peak_tau,peak_time,max_turbidity_down,max_turbidity_up,max_fdom_down,max_fdom_up,has_tauc_exceedance,first_exceedance_time,first_exceedance_tau,n_transport_events,n_exceedance_points,total_exceedance_hours,max_Dmax_mm,tauc50,first_motion_in_event,calculation_status,tau_peak,tau_peak_time_record,peak_mobility_ratio,max_excess_tau,tau_reached_tauc,peak_time_source,split_peak_time_used,first_motion_relative_to_peak_h,excess_integral_rise,excess_integral_fall,excess_integral_total,tau_above_tauc_h_rise,tau_above_tauc_h_fall,tau_above_tauc_h_total,mean_excess_tau,excess_fraction_rise,excess_fraction_fall,excess_balance,duration_fraction_rise,duration_fraction_fall,duration_balance,tau_record_coverage_fraction,n_skipped_tau_intervals,first_tau_ge_tauc_time_record,record_threshold_minus_observed_motion_min
st1,7/23/2021 12:30,7/28/2021 11:15,133.4714286,7/23/2021 16:30,87.312,95.886,54.328,39.252,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
st2,8/3/2022 15:00,8/3/2022 19:00,71.1173216,8/3/2022 16:15,21.938,,39.21,,TRUE,8/3/2022 15:01,60.58834726,1,1,0.25,65.82286562,60.58834726,TRUE,calculated,71.1173216,8/3/2022 16:15,1.173778867,10.52897434,TRUE,event table,8/3/2022 16:15,-1.233333333,9.86736841,18.61336144,28.48072985,1.25,2.75,4,7.120182463,0.346457709,0.653542291,0.307084582,0.3125,0.6875,0.375,1,0,8/3/2022 15:00,-1
st3,8/8/2022 12:30,8/8/2022 22:15,74.72830861,8/8/2022 14:45,21.5,,39.158,,TRUE,8/8/2022 14:31,73.38701644,1,15,3.75,53.36864,73.38701644,TRUE,calculated,74.72830861,8/8/2022 14:45,1.018276968,1.34129217,TRUE,event table,8/8/2022 14:45,-0.233333333,0.167661521,0.498510054,0.666171575,0.25,0.888525528,1.138525528,0.58511782,0.251679188,0.748320812,0.496641624,0.219582253,0.780417747,0.560835495,1,0,8/8/2022 14:30,-1
st4,7/29/2023 13:00,7/30/2023 10:30,79.76729556,7/29/2023 15:45,35.632,40.324,12.998,13.948,TRUE,7/29/2023 15:45,79.76729556,1,1,0.25,54.03914124,79.76729556,TRUE,calculated,79.76729556,7/29/2023 15:45,1,0,TRUE,event table,7/29/2023 15:45,0,0,0,0,0,0,0,,,,,,,,1,0,7/29/2023 15:45,0
st5,8/13/2023 17:15,8/14/2023 3:15,68.63180973,8/13/2023 20:45,17.538,,9.69,,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
st6,8/28/2023 11:30,8/28/2023 16:30,69.69639606,8/28/2023 12:15,29.408,,9.612,,FALSE,,,0,0,0,,,FALSE,no measured tauc50,,,,,,,,,,,,,,,,,,,,,,,,,
st7,9/14/2023 13:00,9/15/2023 13:00,70.56959376,9/14/2023 18:00,,13.778,,12.518,TRUE,9/14/2023 22:45,67.505054,1,2,0.5,43.959,67.505054,TRUE,calculated,70.56959376,9/14/2023 18:00,1.04539719,3.06453976,TRUE,event table,9/14/2023 18:00,4.75,3.693265448,2.103854603,5.797120051,2.133524858,2.388760311,4.522285168,1.281900596,0.637086246,0.362913754,-0.274172491,0.471780257,0.528219743,0.056439487,1,0,9/14/2023 16:00,-405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,first_motion_relative_to_peak_h,,tau_above_tauc_h_total,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-1.233333333,,4,,,-0.308333333,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-0.233333333,,1.138525528,,,-0.204943436,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4.75,,4.522285168,,,1.05035393,,,,,,,,,,,,,,,,,,
