events,start,peak_time,end,peak_tau,storm,time_since_previous,hours_since_previous,days_since_previous
,2021-07-23 12:30:00,2021-07-23 16:30:00,2021-07-28 11:15:00,133.4714286,st1,,,
,2022-08-03 15:00:00,2022-08-03 16:15:00,2022-08-03 19:00:00,71.1173216,st2,375 days 23:45:00,9023.75,375.9895833333333
,2022-08-08 12:30:00,2022-08-08 14:45:00,2022-08-08 22:15:00,74.72830861,st3,4 days 22:30:00,118.5,4.9375
Event_1,2023-04-17 13:00:00,2023-04-17 22:18:00,2023-04-18 11:00:00,112.55085055666667,,252 days 07:33:00,6055.55,252.31458333333333
Event_2,2023-04-18 11:00:00,2023-04-18 20:18:00,2023-04-19 10:00:00,117.49299123000002,,0 days 22:00:00,22.0,0.9166666666666666
Event_3,2023-04-19 10:00:00,2023-04-19 18:03:00,2023-04-20 11:00:00,119.15294599,,0 days 21:45:00,21.75,0.90625
Event_4,2023-04-21 12:00:00,2023-04-21 18:33:00,2023-04-22 09:30:00,109.40601132,,2 days 00:30:00,48.5,2.0208333333333335
Event_5,2023-04-22 14:00:00,2023-04-22 23:18:00,2023-04-23 10:30:00,112.21273027333332,,1 days 04:45:00,28.75,1.1979166666666667
Event_6,2023-04-23 11:30:00,2023-04-23 20:18:00,2023-04-24 11:00:00,115.07945305666668,,0 days 21:00:00,21.0,0.875
Event_7,2023-04-24 11:00:00,2023-04-24 17:48:00,2023-04-25 11:00:00,119.2228783,,0 days 21:30:00,21.5,0.8958333333333334
Event_8,2023-04-27 12:00:00,2023-04-27 20:48:00,2023-04-28 12:00:00,115.36093481333332,,3 days 03:00:00,75.0,3.125
Event_9,2023-04-29 12:00:00,2023-04-29 20:18:00,2023-04-30 12:00:00,118.05576815,,1 days 23:30:00,47.5,1.9791666666666667
Event_10,2023-04-30 12:00:00,2023-04-30 19:48:00,2023-05-01 11:00:00,119.77022043333334,,0 days 23:30:00,23.5,0.9791666666666666
Event_11,2023-05-01 11:00:00,2023-05-01 23:33:00,2023-05-02 13:00:00,120.03070731666666,,1 days 03:45:00,27.75,1.15625
Event_12,2023-05-02 13:00:00,2023-05-02 19:33:00,2023-05-03 11:30:00,125.17995179,,0 days 20:00:00,20.0,0.8333333333333334
Event_13,2023-05-03 11:30:00,2023-05-03 19:18:00,2023-05-04 10:00:00,128.63115497333334,,0 days 23:45:00,23.75,0.9895833333333334
Event_14,2023-05-04 11:00:00,2023-05-04 18:48:00,2023-05-05 09:00:00,127.41738687333331,,0 days 23:30:00,23.5,0.9791666666666666
Event_15,2023-05-05 10:00:00,2023-05-05 18:48:00,2023-05-06 09:00:00,122.76197200333333,,1 days 00:00:00,24.0,1.0
,2023-07-29 13:00:00,2023-07-29 15:45:00,2023-07-30 10:30:00,79.76729556,st4,84 days 20:57:00,2036.95,84.87291666666667
,2023-08-13 17:15:00,2023-08-13 20:45:00,2023-08-14 03:15:00,68.63180973,st5,15 days 05:00:00,365.0,15.208333333333334
,2023-08-28 11:30:00,2023-08-28 12:15:00,2023-08-28 16:30:00,69.69639606,st6,14 days 15:30:00,351.5,14.645833333333334
,2023-09-14 13:00:00,2023-09-14 18:00:00,2023-09-15 13:00:00,70.56959376,st7,17 days 05:45:00,413.75,17.239583333333332
