event_name,start,peak_time,end,has_tauc_exceedance,n_transport_events,n_exceedance_points,total_exceedance_hours,max_Dmax_mm,time_since_previous_tauc_peak,hours_since_previous_tauc_peak,days_since_previous_tauc_peak
st2,2022-08-03 15:00:00,2022-08-03 16:15:00,2022-08-03 19:00:00,True,1,1,0.25,65.82286562,,,
st3,2022-08-08 12:30:00,2022-08-08 14:45:00,2022-08-08 22:15:00,True,1,15,3.75,53.36864,4 days 22:30:00,118.5,4.9375
3,2023-04-19 10:00:00,2023-04-19 18:03:00,2023-04-20 11:00:00,True,1,8,2.0,60.71043,254 days 03:18:00,6099.3,254.1375
4,2023-04-21 12:00:00,2023-04-21 18:33:00,2023-04-22 09:30:00,True,5,5,1.25,45.71622,2 days 00:30:00,48.5,2.0208333333333335
5,2023-04-22 14:00:00,2023-04-22 23:18:00,2023-04-23 10:30:00,True,6,7,1.75,46.06356,1 days 04:45:00,28.75,1.1979166666666667
6,2023-04-23 11:30:00,2023-04-23 20:18:00,2023-04-24 11:00:00,True,7,7,1.75,47.355,0 days 21:00:00,21.0,0.875
8,2023-04-27 12:00:00,2023-04-27 20:48:00,2023-04-28 12:00:00,True,8,9,2.25,101.105,4 days 00:30:00,96.5,4.020833333333333
9,2023-04-29 12:00:00,2023-04-29 20:18:00,2023-04-30 12:00:00,True,5,5,1.25,44.466,1 days 23:30:00,47.5,1.9791666666666667
10,2023-04-30 12:00:00,2023-04-30 19:48:00,2023-05-01 11:00:00,True,6,24,6.0,47.503,0 days 23:30:00,23.5,0.9791666666666666
12,2023-05-02 13:00:00,2023-05-02 19:33:00,2023-05-03 11:30:00,True,3,18,4.5,54.056,1 days 23:45:00,47.75,1.9895833333333333
13,2023-05-03 11:30:00,2023-05-03 19:18:00,2023-05-04 10:00:00,True,20,54,13.5,53.784,0 days 23:45:00,23.75,0.9895833333333334
14,2023-05-04 11:00:00,2023-05-04 18:48:00,2023-05-05 09:00:00,True,11,29,7.25,53.784,0 days 23:30:00,23.5,0.9791666666666666
st4,2023-07-29 13:00:00,2023-07-29 15:45:00,2023-07-30 10:30:00,True,1,1,0.25,54.03914124,85 days 20:57:00,2060.95,85.87291666666667
st7,2023-09-14 13:00:00,2023-09-14 18:00:00,2023-09-15 13:00:00,True,1,2,0.5,43.959,47 days 02:15:00,1130.25,47.09375
